'a'a'a 啊啊啊
'hou'bei'ruan'pan 后备软盘
'hou'bei'xi'tong 后备系统
'hou'biao'guan'ren 鲎杓官人
'hou'bu 厚布
'hou'bu'ba'dian 后不巴店
'hou'bu'jian'lai'zhe 后不见来者
'hou'bu'jian'xian 后不僭先
'hou'bu'wei'li 后不为例
'hou'bu'zhao'dian 后不着店
'hou'ceng'ya'ban 厚层压板
'hou'chang'qi'duan 喉长气短
'hou'che'dang'jie 后车当戒
'hou'che'zhi'jie 后车之戒
'hou'chu'li 后处理
'hou'chu'zhuai'jing 后出转精
'hou'ci'bao'bi 厚此薄彼
'hou'dai 厚待
'hou'de'zai'fu 厚德载福
'hou'de'zai'wu 厚德载物
'hou'diao 后雕
'hou'dong'ren'zhong 厚栋任重
'hou'duan'wang 后端网
'hou'du'ji 厚度计
'hou'er'zai'zi 猴儿崽子
'hou'fa'zhi'ren 后发制人
'hou'fu'wen'bu'beng'dai 厚符文布绷带
'hou'fu'wu'liang 后福无量
'hou'fu'yu'shi 侯服玉食
'hou'ge'qian'yang 后合前仰
'hou'gong'qian'ju 后恭前倨
'hou'guan 猴冠
'hou'gu'bao'jin 厚古薄今
'hou'guo'qian'yin 后果前因
'hou'gu'zhi'huan 后顾之患
'hou'gu'zhi'lv 后顾之虑
'hou'gu'zhi'you 后顾之忧
'hou'gu'zhi'yu 后顾之虞
'hou'hai'xian'he 后海先河
'hou'hou'dui'dui 厚厚敦敦
'hou'huan'wu'qiong 后患无穷
'hou'hui'bu'ji 后悔不及
'hou'hui'de'jie'kou 后悔的藉口
'hou'hui'he'ji 后悔何及
'hou'hui'ke'qi 后会可期
'hou'hui'mo'ji 后悔莫及
'hou'hui'nan'ji 后会难期
'hou'hui'wu'ji 后悔无及
'hou'hui'wu'qi 后会无期
'hou'hui'you'qi 后会有期
'hou'ji 后集
'hou'jia'an'quan 后加安全
'hou'jiao'chun'gan 喉焦唇干
'hou'jia'xie'yao'fen 厚甲蝎药粉
'hou'jia'xie'zhi'ji 厚甲蝎之击
'hou'ji'biao'zhi 后继标识
'hou'ji'bo'fa 厚积薄发
'hou'ji'cong 后继丛
'hou'ji'fa'ren 后继乏人
'hou'jin'bao'gu 厚今薄古
'hou'jing'jian'zhi'ling'ji'ji'suan'ji 后精简指令集计算机
'hou'jin'ling'xiu 后进领袖
'hou'jin'xian'chu 后进先出
'hou'jin'zhi'xiu 后进之秀
'hou'jiu'fei'rou 厚酒肥肉
'hou'ji'wu'ren 后继无人
'hou'ji'you'ren 后继有人
'hou'ji'zhan 后继站
'hou'ke 厚壳
'hou'lai'jia'qi 后来佳器
'hou'lai'ju'shang 后来居上
'hou'lai'zhe'ju'shang 后来者居上
'hou'lai'zhi'xiu 后来之秀
'hou'lang'cui'qian'lang 后浪催前浪
'hou'lang'da'shu 猴郎达树
'hou'lang'pi 厚狼皮
'hou'lang'tui'qian'lang 后浪推前浪
'hou'li'bei'ci 厚礼卑辞
'hou'lin 厚鳞
'hou'lu 厚颅
'hou'lu'chong'rong 厚禄重荣
'hou'lu'gao'guan 厚禄高官
'hou'mao'lang'pi 厚毛狼皮
'hou'mao'shen'ci 厚貌深辞
'hou'mao'shen'qing 厚貌深情
'hou'mao'shen'wen 厚貌深文
'hou'men 后门
'hou'men'jin'lang 后门进狼
'hou'men'ru'hai 侯门如海
'hou'men'shen'si'hai 侯门深似海
'hou'men'si'hai 侯门似海
'hou'mo 厚膜
'hou'mo'dian'lu 厚膜电路
'hou'mo'wen'beng'dai 厚魔纹绷带
'hou'nian'ma'yue 猴年马月
'hou'pa'hu 后怕虎
'hou'pi 厚皮
'hou'pi'dan'yao'bao 厚皮弹药包
'hou'pi'lao'lian 厚皮老脸
'hou'pi'man'tou 厚皮馒头
'hou'qing'yun'ya 喉清韵雅
'hou'qi'zhi'xiu 后起之秀
'hou'ren 厚刃
'hou'ren'ba'hua 后人把滑
'hou'ren'cheng'liang 后人乘凉
'hou'rong'xian'beng'dai 厚绒线绷带
'hou'ru'tuo'tu 后如脱兔
'hou'san'he'si 吼三喝四
'hou'sheng'ke'wei 后生可畏
'hou'sheng'li'yong 厚生利用
'hou'sheng'wan'xue 后生晚学
'hou'sheng'xiao'zi 后生小子
'hou'she'zhi'guan 喉舌之官
'hou'shi'bao'wang 厚施薄望
'hou'shi'xian'sheng 后实先声
'hou'shi'zhi'shi 后事之师
'hou'shou'bu'jie 后手不接
'hou'shou'bu'shang 后手不上
'hou'si 后嗣
'hou'si'zhi'beng'dai 厚丝质绷带
'hou'tai 后台
'hou'tai'cao'zuo'fang'shi 后台操作方式
'hou'tai'chu'qi'cheng'xu 后台初启程序
'hou'tai'diao'du'cheng'xu 后台调度程序
'hou'tai'fen'qu 后台分区
'hou'tai'fen'ye 后台分页
'hou'tai'jian'kong'cheng'xu 后台监控程序
'hou'tai'lao'ban 后台老板
'hou'tai'qu 后台区
'hou'tai'ren'wu 后台任务
'hou'tai'zuo'ye 后台作业
'hou'tang'qiang'pao 后膛枪礮
'hou'tang'qiang'pao 后膛枪炮
'hou'tian'han'de 吼天喊地
'hou'tian'shi'tiao 后天失调
'hou'tian'xia'zhi'le'er'le 后天下之乐而乐
'hou'tong'bu'ma 后同步码
'hou'tou'hou'nao 猴头猴脑
'hou'tu'fu'ren 后土夫人
'hou'tui'wu'men 后退无门
'hou'wang'bao'lai 厚往薄来
'hou'wang'jiang'xiang 侯王将相
'hou'wei'la'du 厚味腊毒
'hou'wu'lai'zhe 后无来者
'hou'xiang 后像
'hou'xiang'chuan'rao 后向串扰
'hou'xiang'qian'jie 后巷前街
'hou'xiang'xian'shi'yong'se'tong'zhi 后向显式拥塞通知
'hou'xia'shou'zao'yang 后下手遭殃
'hou'xie'lin 厚蝎鳞
'hou'xiong'pi 厚熊皮
'hou'xu 候旭
'hou'xuan'jie 候选解
'hou'ya'ma'beng'dai 厚亚麻绷带
'hou'yang'qian'ge 后仰前合
'hou'yan'wu'chi 厚颜无耻
'hou'yi 后羿
'hou'yi'zhi'shi 后羿之石
'hou'yong'qian'hu 后拥前呼
'hou'yong'qian'qu 后拥前驱
'hou'yong'qian'zhe 后拥前遮
'hou'you'da'huan 后有大患
'hou'yuan'cun'chu'qi 后援存储器
'hou'yuan'dian'chi 后援电池
'hou'yuan'gao'su'huan'cun 后援高速缓存
'hou'yuan'qi'huo 后院起火
'hou'yuan'xi'tong 后援系统
'hou'yu'ren'pi'jia 厚鱼人皮甲
'hou'zhe'chu'shang 后者处上
'hou'zhi'ci 后置词
'hou'zhong'de'lai'ni'tao'zhuang 厚重德莱尼套装
'hou'zhong'hei'yao'shi'xiong'jia 厚重黑曜石胸甲
'hou'zhong'hu'jia'pian 厚重护甲片
'hou'zhong'lie'ti'chang'xue 厚重裂蹄长靴
'hou'zhong'lie'ti'hu'tui 厚重裂蹄护腿
'hou'zhong'lie'ti'wai'tao 厚重裂蹄外套
'hou'zhong'qi'la'yao'dai 厚重其拉腰带
'hou'zhong'san'leng'chui 厚重三棱锤
'hou'zhong'shao'wen 厚重少文
'hou'zhong'yi'zhong'chong'xiong'jia 厚重异种虫胸甲
'hou'zhong'zhan'fu 厚重战斧
'hou'zhui 后缀
'hou'zhui 后追
'hou'zi'bo'shi 猴子搏矢
'hou'zi'cheng'da'wang 猴子称大王
'hou'zi'jiu'yue 猴子救月
'hou'zi'lao'yue 猴子捞月
'hua'bai'cheng'ji 化败成奇
'hua'bei'tong'wei'li'liang 化悲痛为力量
'hua'bei'wan'fang 化被万方
'hua'bi 化碧
'hua'bian'gui'tou 花边鬼头
'hua'bian'ren'wu 花边人物
'hua'biao'he 华表鹤
'hua'bing'chong'ji 画饼充饥
'hua'bi'yue'xiu 花闭月羞
'hua'bo'qing'suan 划拨清算
'hua'bu'ji'liu 滑不唧溜
'hua'bu'leng'deng 花不楞登
'hua'bu'leng'deng 花不棱登
'hua'bu'mi'ren'ren'zi'mi 花不迷人人自迷
'hua'bu'tou'ji 话不投机
'hua'bu'tou'ji'ban'ju'duo 话不投机半句多
'hua'bu'xiang'tou 话不相投
'hua'bu'xu'chuan 话不虚传
'hua'bu'zai'hang 话不在行
'hua'bu'zai'yang 华不再扬
'hua'cang'shi'jie 华藏世界
'hua'can'yue'que 花残月缺
'hua'ce'she'mou 画策设谋
'hua'chang'shui'duan 话长説短
'hua'chang'shuo'duan 话长说短
'hua'cheng'mi'jiu 花成蜜就
'hua'chen'yue'xi 花辰月夕
'hua'chen'yue'xi 花晨月夕
'hua'chi'ru'shen 化驰如神
'hua'chi'wei'feng 化鸱为凤
'hua'chou 画筹
'hua'chuan'liu'kou 滑串流口
'hua'cong'she 花丛蛇
'hua'cuan'jin'cu 花攒锦簇
'hua'cuan'jin'ju 花攒锦聚
'hua'cuan'qi'cu 花攒绮簇
'hua'cu'jin'cuan 花簇锦攒
'hua'dai'yuan'ze 划代原则
'hua'dian 华颠
'hua'dian'lao'zi 华颠老子
'hua'di'cheng'lao 画地成牢
'hua'di'cheng'tu 画地成图
'hua'die 化蝶
'hua'di'er'qu 画地而趋
'hua'di'huo'wan 画荻和丸
'hua'di'jiao'zi 画荻教子
'hua'di'ke'mu 画地刻木
'hua'ding 滑钉
'hua'di'wan'xiong 画荻丸熊
'hua'di'wei'lao 画地为牢
'hua'di'wei'lao 画地爲牢
'hua'di'wei'lao 划地爲牢
'hua'di'wei'lao 划地为牢
'hua'di'wei'you 化敌为友
'hua'di'wei'yu 画地爲狱
'hua'di'wei'yu 画地为狱
'hua'di'zi'xian 画地自限
'hua'di'zuo'yu 画地作狱
'hua'dong'diao'liang 画栋雕梁
'hua'dong'fei'meng 画栋飞甍
'hua'dong'shu'lian 画栋朱帘
'hua'dui'jin'cu 花堆锦簇
'hua'duo'shi'shao 花多实少
'hua'duo'si'bei 化度寺碑
'hua'duo'zi'shao 花多子少
'hua'er'bu'shi 华而不实
'hua'er'shi'shi 华而失实
'hua'e'xiang'hui 花萼相辉
'hua'fa'cang'yan 华发苍颜
'hua'fan'wei'jian 化繁为简
'hua'fan'ye'mao 花繁叶茂
'hua'fei'die'wu 花飞蝶舞
'hua'feng'san'zhu 华封三祝
'hua'fen'suan'fa 划分算法
'hua'fu'cheng'qi 化腐成奇
'hua'fu'nian'zhou 画符念咒
'hua'fu'wei'qi 化腐为奇
'hua'fu'xiu'wei'shen'qi 化腐朽为神奇
'hua'gan'ge'wei'yu'bo 化干戈为玉帛
'hua'gen'ben'yan 花根本艳
'hua'ge'shu'lou 画阁朱楼
'hua'gong'wei'si 化公为私
'hua'guang'liu'ying 花光柳影
'hua'guan'li'fu 华冠丽服
'hua'gui'rong'yi'hua'ren'nan 画鬼容易画人难
'hua'gun'zhi'zeng 华衮之赠
'hua'hao'yue'yuan 花好月圆
'hua'hong'liu'lv 花红柳绿
'hua'hua'cao'cao 花花草草
'hua'hua'chang'zi 花花肠子
'hua'hua'da'da 花花搭搭
'hua'hua'dian'dian 花花点点
'hua'hua'gong'zi 花花公子
'hua'hua'liu'liu 花花柳柳
'hua'hua'lv'lv 花花绿绿
'hua'hua'shao'shao 花花哨哨
'hua'hua'shi'jie 花花世界
'hua'hua'tai'sui 花花太岁
'hua'hua'xing'jing 花花型警
'hua'hu'bu'cheng 画虎不成
'hua'hu'bu'cheng'fan'lei'gou 画虎不成反类狗
'hua'hu'bu'cheng'fan'lei'quan 画虎不成反类犬
'hua'hu'cheng'gou 画虎成狗
'hua'hu'hua'pi'nan'hua'gu 画虎画皮难画骨
'hua'hu'ke'hu 画虎刻鹄
'hua'hu'lei'gou 画虎类狗
'hua'hu'lei'quan 画虎类犬
'huai'an'bai'ming 怀安败名
'huai'an'meng 槐安梦
'huai'an'sang'zhi 怀安丧志
'huai'bao'mi'bang 怀宝迷邦
'huai'bi'qi'zui 怀璧其罪
'huai'bi'wei'zui 怀璧为罪
'huai'bi'zhi'zui 怀璧之罪
'huai'cai 怀才
'huai'cai'bao'de 怀材抱德
'huai'cai'bao'de 怀才抱德
'huai'cai'bao'qi 怀材抱器
'huai'cai'bao'qi 怀才抱器
'huai'cai'bu'yu 怀才不遇
'huai'chang'shang'qi 徊肠伤气
'huai'chang'wei'ku 坏裳为袴
'huai'chang'wei'ku 坏裳爲袴
'huai'chang'wei'ku 坏裳为褲
'huai'che'sha'ma 坏车杀马
'huai'ci 怀刺
'huai'ci'bu'shi 怀刺不适
'huai'ci'man'mie 怀刺漫灭
'huai'dao'mi'bang 怀道迷邦
'huai'de'wei'wei 怀德畏威
'huai'di'fu'yuan 怀敌附远
'huai'ding 槐鼎
'huai'e'bu'quan 怀恶不悛
'huai'fa'luan'ji 坏法乱纪
'huai'fu 槐府
'huai'gong'ji'si 槐宫棘寺
'huai'gu'shang'jin 怀古伤今
'huai'gu'wo'qian 怀觚握椠
'huai'hen'zai'xin 怀恨在心
'huai'huai'la'la 咶咶喇喇
'huai'huang'pei'zi 怀黄佩紫
'huai'huang'wo'bai 怀黄握白
'huai'jiao'dan'zi 槐胶弹子
'huai'jie'ji'lu 槐阶棘路
'huai'jin'chui'zi 怀金垂紫
'huai'jin'tuo'zi 怀金拖紫
'huai'jin'wo'yu 怀瑾握瑜
'huai'ju 怀橘
'huai'ju'wei'qin 怀橘遗亲
'huai'ju'wei'zhi 淮橘为枳
'huai'lu'tan'shi 怀禄贪势
'huai'nan'ba'gong 淮南八公
'huai'nan'ji'quan 淮南鸡犬
'huai'nan'xiao'shan 淮南小山
'huai'nan'yi'meng 槐南一梦
'huai'qian'shun'mo 怀铅吮墨
'huai'qian'ti'qian 怀铅提椠
'huai'qian'wo'qian 怀铅握椠
'huai'qian'wo'su 怀铅握素
'huai'ren'huai'shi 坏人坏事
'huai'ren'xin'shu 坏人心术
'huai'rou'lun'tan 怀柔论坛
'huai'rou'tian'xia 怀柔天下
'huai'shang'wei'ku 坏裳为裤
'huai'shan'qu'fa 坏扇区法
'huai'shan'xiang'ling 怀山襄陵
'huai'sheng'ji'shu 槐省棘署
'huai'shi'you'yu 坏事有余
'huai'te'hao'er 怀特豪尔
'huai'te'mai'en 怀特迈恩
'huai'te'mu'en 怀特姆恩
'huai'te'si'di'de 怀特斯蒂德
'huai'tu'zhi'qing 怀土之情
'huai'wang'ji'gou 淮王鷄狗
'huai'wang'ji'gou 淮王鸡狗
'huai'wang'ji'quan 淮王鸡犬
'huai'xiang'zhi'qing 怀乡之情
'huai'xing'zi'ai 怀刑自爱
'huai'yang'duo'bing 淮阳多病
'huai'yang'ji 淮阳绩
'huai'yan'yuan 坏演员
'huai'ye'leng'tao 槐叶冷淘
'huai'yin'ping'chu 淮阴平楚
'huai'yin'yu'zi 怀银纡紫
'huai'yuan'bao'qu 怀冤抱屈
'huai'yuan'yi'de 怀远以德
'huai'zha'bao'zeng 怀诈暴憎
'huai'zhe'gui'tai 怀着鬼胎
'huai'zhen'bao'su 怀真抱素
'huai'zhi'bao'zhen 怀质抱真
'huai'zhi'san'qun 坏植散羣
'huai'zhi'san'qun 坏植散群
'huai'zhu'bao'yu 怀珠抱玉
'huai'zhu'yun'yu 怀珠韫玉
'hua'ji 化级
'hua'jiang'mo'shou 画疆墨守
'hua'jiang'zi'shou 画疆自守
'hua'jian'si'you 花间四友
'hua'jiao'liu'duo 花娇柳亸
'hua'jiao'liu'duo 花娇柳嚲
'hua'jiao'miao'tou 画角描头
'hua'jia'rui'fu'lei 画家瑞弗蕾
'hua'jia'suan'fa 画家算法
'hua'jia'zhi'nian 花甲之年
'hua'jie'er'zhi 划界而治
'hua'jie'liu'mo 花街柳陌
'hua'jie'liu'shi 花街柳市
'hua'jie'liu'shi 花阶柳市
'hua'jie'liu'xiang 花街柳巷
'hua'jie'wei'jiang 划界为疆
'hua'ji'ming'wan 化及冥顽
'hua'jin'shi'jie 花锦世界
'hua'ji'tun'yu 化及豚鱼
'hua'ji'zhi'xiong 滑稽之雄
'hua'kai'die'wei 花开碟围
'hua'kai'kan'zhe 花开堪折
'hua'kai'si'jin 花开似锦
'hua'ke 滑壳
'hua'kou'dai'zi 话口袋子
'hua'lai'shi'shu 华莱士树
'hua'lan'che 花篮车
'hua'lian 滑链
'hua'liang'diao'dong 画梁雕栋
'hua'li'cang'jiu 话里藏阄
'hua'li'dai'ci 话里带刺
'hua'li'hu'shao 花狸狐哨
'hua'li'hu'shao 花里胡哨
'hua'li'hu'shao 花藜胡哨
'hua'li'hu'shao 花丽狐哨
'hua'lin'chang'xue 滑鳞长靴
'hua'lin'fen'zhen 花林粉阵
'hua'ling'wei'zheng 化零为整
'hua'li'se'yin'shou'fu 华丽瑟银手斧
'hua'liu'kai'dao 骅骝开道
'hua'liu'luo'hou 骅骝落后
'hua'liu'ren'jia 花柳人家
'hua'li'you'ci 话里有刺
'hua'li'you'hua 话里有话
'hua'li'zhen'zhen 画里真真
'hua'long'bu'cheng'fan'wei'gou 画龙不成反为狗
'hua'long'dian'jing 画龙点睛
'hua'long'dian'qing 画龙点晴
'hua'long'ke'hu 画龙刻鹄
'hua'luan'diao'xin 画卵雕薪
'hua'ma'diao'zui 花麻调嘴
'hua'ma'diao'zui 花马吊嘴
'hua'ma'diao'zui 花马掉嘴
'hua'mai'bo'zi 花霾脖子
'hua'mao'peng'xin 花貌蓬心
'hua'mao'qiao'zui 花猫巧嘴
'hua'mei 化梅
'hua'mei'jing'zhao 画眉京兆
'hua'mei'ju'an 画眉举案
'hua'mei'zhang'chang 画眉张敞
'hua'men'liu'hu 花门柳户
'hua'miao'tou'shi 花苗头饰
'hua'min'cheng'su 化民成俗
'hua'ming'liu'an 花明柳暗
'hua'ming'liu'mei 花明柳媚
'hua'min'yi'su 化民易俗
'hua'mo'jiu'bing 花魔酒病
'hua'mu'chui 桦木槌
'huan 奂
'huan'beng'luan'tiao 欢迸乱跳
'huan'beng'luan'tiao 欢蹦乱跳
'huan'bian'gu'wu 欢忭鼓舞
'huan'bian'zhe 幻变者
'huan'bian'zhe'yin'ji 幻变者印记
'huan'bing 患病
'huan'bing'zhi'ji 缓兵之计
'huan'bu'dai'che 缓步代车
'huan'bu'dang'che 缓步当车
'huan'bu'ji'ji 缓不济急
'huan'cai'hu'mu'jing'fen'se'kuan 幻彩护目镜粉色款
'huan'cai'hu'mu'jing'zi'se'kuan 幻彩护目镜紫色款
'huan'cai'xuan'guang 幻彩炫光
'huan'cheng'ming'li 宦成名立
'huan'chong'chi 缓冲池
'huan'chong'cun'chu'qi 缓冲存储器
'huan'chong'ji'cun'qi 缓冲寄存器
'huan'chong'qi 缓冲器
'huan'chong'qi'suan'fa 缓冲器算法
'huan'chong'qu'fen'pei 缓冲区分配
'huan'chong'qu'guan'li 缓冲区管理
'huan'chong'qu'yu'fen'pei 缓冲区预分配
'huan'chong'zhuang'zhi 缓冲装置
'huan'chu 换出
'huan'chun'fan'pu 还淳返朴
'huan'cong'kou'ru 患从口入
'huan'cun 缓存
'huan'dai'qing'qiu 缓带轻裘
'huan'dai'zhi'sai 缓带之思
'huan'dan'qian'lai 桓石虔来
'huan'dao 环道
'huan'de'huan'shi 患得患失
'huan'deng'dai'shi'jian 环等待时间
'huan'di'zhe'ha'mu'jia 唤地者哈穆加
'huan'di'zhe'li'jia 唤地者利迦
'huan'dou'yi'xing 换斗移星
'huan'du 环堵
'huan'du'xiao'ran 环堵萧然
'huan'du'zhi'shi 环堵之室
'huan'e 换鹅
'huan'e'jing 换鹅经
'huan'e'qun 换鹅群
'huan'er'bing'kai 涣尔冰开
'huan'fa 幻法
'huan'fa'da'hao 涣发大号
'huan'fei'yan'shou 环肥燕瘦
'huan'feng'zhe 唤风者
'huan'feng'zhe'ka'er'dong 唤风者卡尔东
'huan'feng'zhe'mei'en 唤风者梅恩
'huan'feng'zhe'ye'sa'de'la 唤风者耶萨德拉
'huan'fen'hu'mu'jing 幻粉护目镜
'huan'fu 萑苻
'huan'fu'bian'ye 萑苻遍野
'huang 皇
'huang'ai'bi'tian 黄埃蔽天
'huang'bai'zhi'shu 黄白之术
'huang'bai'zhi'zi 黄白之资
'huang'bu'ze'lu 慌不择路
'huang'cao'qi'qi 荒草萋萋
'huang'chan'chu 黄蟾蜍
'huang'chang'ti'cou 黄肠题凑
'huang'chen 黄沉
'huang'cheng'jin'chi 皇城金翅
'huang'cheng'yin'chi 皇城银翅
'huang'chen'qing'shui 黄尘清水
'huang'chen'zhi'shi 黄沉之石
'huang'chen'zhi'shi'ji 黄沉之石级
'huang'che'sao'xu 谎彻梢虚
'huang'che'shi'zhe 黄车使者
'huang'chi'da'hui 黄池大会
'huang'chi'dao'nong 潢池盗弄
'huang'chui'ling 黄垂玲
'huang'cong'shao'nian 黄骢少年
'huang'dan'bu'jing 荒诞不经
'huang'dan'wu'ji 荒诞无稽
'huang'dao 黄道
'huang'dao'ji'ri 黄道吉日
'huang'dao'shou'tao 黄道手套
'huang'di'de'xin'dou'peng 皇帝的新斗篷
'huang'di'hang'bao 皇帝行宝
'huang'di'hui'ji 皇帝徽记
'huang'di'lao'zi 皇帝老子
'huang'di'zi'sun 黄帝子孙
'huan'ge'man'wu 缓歌慢舞
'huan'ge'man'wu 缓歌缦舞
'huang'er'chuan'shu 黄耳传书
'huang'er'ji'shu 黄耳寄书
'huang'fa'chui'tiao 黄发垂髫
'huang'fa'dai'bei 黄发骀背
'huang'fa'er'chi 黄发儿齿
'huang'fa'er'chi 黄发兒齿
'huang'fa'tai'bei 黄发台背
'huang'fa'tai'bei 黄发鲐背
'huang'fa'tai'bei 黄发鮐背
'huang'fei 黄扉
'huang'feng'wai'ke'hu'shou 黄蜂外壳护手
'huang'feng'wu'zhao 黄风雾罩
'huang'fen'huo 荒坟火
'huang'fu'si'jie 皇甫四杰
'huang'gan'hei'shou 黄干黑瘦
'huang'gan'hei'shou 黄乾黑瘦
'huang'gan'hei'sou 黄干黑廋
'huang'gong 黄公
'huang'gong'hao'qian 黄公好谦
'huang'gong'jiu'lu 黄公酒垆
'huang'gong'lu 黄公垆
'huang'guai'bu'jing 荒怪不经
'huang'guan 皇冠
'huang'guan'cao'fu 黄冠草服
'huang'guan'cao'lv 黄冠草履
'huang'guan'fa'pao 皇冠法袍
'huang'guan'shao'ta 皇冠哨塔
'huang'guan'ye'fu 黄冠野服
'huang'he'shui'qing 黄河水清
'huang'he'xian'ren 黄鹤仙人
'huang'he'zui'weng 黄鹤醉翁
'huang'hou 黄厚
'huang'hou'yu'meng'xiang 皇后与梦想
'huang'hou'zhi'shi 黄厚之石
'huang'hua'di'ding 黄花地丁
'huang'hua'gui'nv 黄花闺女
'huang'hua'gu'niang 黄花姑娘
'huang'huang'bu'an 惶惶不安
'huang'huang'bu'ke'zhong'ri 惶惶不可终日
'huang'huang'bu'ke'zhong'ri 皇皇不可终日
'huang'huang'cu'cu 慌慌促促
'huang'huang'dang'dang 恍恍荡荡
'huang'huang'hou'di 皇皇后帝
'huang'huang'hu'hu 恍恍忽忽
'huang'huang'hu'hu 恍恍惚惚
'huang'huang'ji'ji 皇皇汲汲
'huang'huang'ji'ji 慌慌急急
'huang'huang'jue'jue 皇皇矞矞
'huang'huang'mang'mang 慌慌忙忙
'huang'huang'su'su 慌慌速速
'huang'huang'su'su 恍恍速速
'huang'huang'you'you 晃晃悠悠
'huang'huang'zhang'zhang 慌慌张张
'huang'hua'nv'er 黄花女儿
'huang'hua'shi 皇华使
'huang'hua'wan'jie 黄花晚节
'huang'hua'you'nv 黄花幼女
'huang'hun 黄昏
'huang'hun'mo'zhang 黄昏魔杖
'huang'jia'du'chang 皇家赌场
'huang'jia'fa'guan'pi'feng 皇家法官披风
'huang'jia'jian'jia 皇家肩甲
'huang'jia'jiu'shu'wan'lun 皇家救赎腕轮
'huang'jia'ma'de'li 皇家马德里
'huang'jian'sheng 黄健生
'huang'jiao'kuang'ye 荒郊旷野
'huang'jiao'ye'wai 荒郊野外
'huang'jia'qi'la'yao'dai 皇家其拉腰带
'huang'ji'bai'fan 黄虀白饭
'huang'ji'bai'fan 黄齑白饭
'huang'ji'dan'fan 黄齑淡饭
'huang'jin'bai'yi 黄金百镒
'huang'jin'chang'dao'dao'ge 黄金长刀刀格
'huang'jin'chang'gan'jie'sun 黄金长杆接榫
'huang'jin'chui 黄金锤
'huang'jin'dao'dan 黄金导弹
'huang'jin'duan'ren'bing 黄金短刃柄
'huang'jin'dun'pai 黄金盾牌
'huang'jin'fei'cui'hu'mu'jing 黄金翡翠护目镜
'huang'jin'gu'jia'he'ye 黄金股甲合页
'huang'jin'gun'bang'hu'shou 黄金棍棒护手
'huang'jing'yu 黄晶玉
'huang'jin'huai'jia'he'ye 黄金踝甲合页
'huang'jin'hu'shen'suo 黄金护身锁
'huang'jin'jia'chong 黄金甲虫
'huang'jin'jia'hu'mu'jing 黄金甲护目镜
'huang'jin'jian'jia'he'ye 黄金肩甲合页
'huang'jin'lie 黄金埒
'huang'jin'li'shi 黄巾力士
'huang'jin'luo'pan 黄金罗盘
'huang'jin'mai'fu 黄金买赋
'huang'jin'mao'bing 黄金矛柄
'huang'jin'mian'zhao'he'ye 黄金面罩合页
'huang'jin'neng'liang'he'xin 黄金能量核心
'huang'jin'ru'gui 黄金入柜
'huang'jin'sen'lin'pi'feng 黄金森林披风
'huang'jin'shen 黄金参
'huang'jin'shi'dai 黄金时代
'huang'jin'shi'jian 黄金时间
'huang'jin'shi'jie 黄金世界
'huang'jin'shi'se 黄金失色
'huang'jin'shu 黄金书
'huang'jin'tu'teng'qi'qiu 黄金图腾气球
'huang'jin'wan'neng'yao'shi 黄金万能钥匙
'huang'jin'wen'ming 黄金文明
'huang'jin'wen'ming'che'pai 黄金文明车牌
'huang'jin'wen'ming'fen'nu'huang'jin'shen 黄金文明愤怒黄金神
'huang'jin'wen'ming'gu'lao'shen'dian 黄金文明古老神殿
'huang'jin'wen'ming'huang'jin'zuo'biao 黄金文明黄金坐标
'huang'jin'wen'ming'kong'bu'xie'po 黄金文明恐怖斜坡
'huang'jin'xi'lie 黄金系列
'huang'jin'xin'zi 黄金心字
'huang'jin'xiu'jia'he'ye 黄金袖甲合页
'huang'jin'zhi'lu 黄金之路
'huang'jin'zhu'xiang 黄金铸象
'huang'jin'zuo'biao 黄金坐标
'huang'juan'ci 黄绢词
'huang'juan'qing'deng 黄卷青灯
'huang'juan'you'fu 黄绢幼妇
'huang'juan'you'fu 黄卷幼妇
'huang'kong'bu'an 惶恐不安
'huang'kou'li'she 簧口利舌
'huang'kou'ru'zi 黄口孺子
'huang'kou'xiao'er 黄口小儿
'huang'kou'xiao'er 黄口小兒
'huang'lang'zi 黄郎子
'huang'liang'mei'meng 黄粱美梦
'huang'liang'mei'meng 黄梁美梦
'huang'liang'yi'meng 黄粱一梦
'huang'liang'yi'meng 黄梁一梦
'huang'li'hei'li 黄狸黑狸
'huang'li'huang'zhang 慌里慌张
'huang'long'tong'yin 黄龙痛饮
'huang'long'zhan'jian 黄龙战舰
'huang'lu'zhi'tong 黄垆之痛
'huang'mao 黄堥
'huang'mao 黄猫
'huang'mao'bai'wei 黄茅白苇
'huang'mao'hei'wei 黄猫黑尾
'huang'mao'pu'sa 黄毛菩萨
'huang'mao'ya'tou 黄毛丫头
'huang'ma'shou'tao 黄麻手套
'huang'ma'zi'ni 黄麻紫泥
'huang'ma'zi'shu 黄麻紫书
'huang'mei'bu'la'qing'mei'la 黄梅不落青梅落
'huang'mei'gui'yan'huo 黄玫瑰焰火
'huang'men'bei'si 黄门北寺
'huang'men'fu'ma 黄门驸马
'huang'men'gu'chui 黄门鼓吹
'huang'mian'ao'zi 黄绵袄子
'huang'mian'ju'tan 黄面瞿昙
'huang'mian'lao'chan 黄面老禅
'huang'mian'lao'zi 黄面老子
'huang'miao'bu'jing 荒渺不经
'huang'miu'bu'jing 荒谬不经
'huang'miu'jue'lun 荒谬绝伦
