'a'gong'yan 阿公岩
'hai'cheng'hu'pan'er'duan 海澄湖畔二段
'hai'cheng'hu'pan'hui'suo 海澄湖畔会所
'hai'cheng'hu'pan'yi'duan'di 海澄湖畔一段第
'hai'cui'hua'yuan 海翠花园
'hai'di'hua'yuan 海堤花园
'hai'di'ju 海堤居
'hai'di'sui'dao 海底隧道
'hai'di'sui'dao'shou'fei'guang'chang 海底隧道收费广场
'hai'di'wan'pan 海堤湾畔
'hai'dian'ju 海典居
'hai'dian'wan 海典湾
'hai'fang'bo'wu'guan 海防博物馆
'hai'fang'dao 海防道
'hai'feng'hua'yuan 海峰花园
'hai'feng'jing 海蜂径
'hai'feng'yuan 海峰园
'hai'fu'hua'yuan 海福花园
'hai'fu'jie 海富街
'hai'fu'yuan 海富苑
'hai'fu'zhong'xin 海富中心
'hai'gang'cheng 海港城
'hai'gang'hua'yuan 海港花园
'hai'gang'hua'yuan'zong'zhan 海港花园总站
'hai'gang'jiu'dian 海港酒店
'hai'gang'jiu'lou 海港酒楼
'hai'gang'zheng'fu'da'lou 海港政府大楼
'hai'gang'zhong'xin 海港中心
'hai'guan'da'lou 海关大楼
'hai'hong'dao 海泓道
'hai'hui'dao'heng'ren'tian'qiao 海辉道行人天桥
'hai'jin'hao'yuan 海锦豪园
'hai'jing'da'sha 海景大厦
'hai'jing'hua'yuan 海景花园
'hai'jing'jia'fu'jiu'dian 海景嘉福酒店
'hai'jing'shan'zhuang 海景山庄
'hai'jing'tai 海景台
'hai'lan'ge 海蓝阁
'hai'lan'ju 海蓝居
'hai'li'cun 海丽邨
'hai'li'cun'ba'shi'zong'zhan 海丽邨巴士总站
'hai'li'jie 海利街
'hai'lian'guang'chang 海联广场
'hai'mei'wan 海美湾
'hai'ming'xuan 海名轩
'hai'ning'jie 海甯街
'hai'ning'ju 海宁居
'hai'ou'lou 海鸥楼
'hai'pang'jing'shu 海旁警署
'hai'qi'ge 海憩阁
'hai'sheng'lu 海盛路
'hai'shi'chu'huo'wu'zhuang'xie'qu 海事处货物装卸区
'hai'tan'jie 海坛街
'hai'tang'lou 海棠楼
'hai'tao'hua'yuan 海涛花园
'hai'tao'ju 海涛居
'hai'tao'wan 海桃湾
'hai'tian'jing 海天径
'hai'tian'ma'tou 海天码头
'hai'wai'xin'tuo 海外信托
'hai'wan'hua'ting 海湾华庭
'hai'wan'hua'yuan 海湾花园
'hai'wan'jie 海湾街
'hai'wan'xuan 海湾轩
'hai'wan'yuan 海湾园
'hai'xia 海下
'hai'xin'gong'yuan 海心公园
'hai'xin'hua'yuan 海欣花园
'hai'xing'lu 海兴路
'hai'xing'tian'zhu'jiao'tang 海星天主教堂
'hai'xing'xiao'xue 海星小学
'hai'yan'hua'yuan 海燕花园
'hai'yan'jie 海晏街
'hai'yan'jing 海燕径
'hai'yang'chuan'chang 海洋船厂
'hai'yang'gong'yuan 海洋公园
'hai'yang'gong'yuan'dao 海洋公园道
'hai'yang'gong'yuan'ting'che'chang 海洋公园停车场
'hai'yang'zhong'xin 海洋中心
'hai'yi'ban'dao 海怡半岛
'hai'yi'ban'dao'ba'shi'zong'zhan 海怡半岛巴士总站
'hai'yi'ban'dao'hai'yun'ge 海怡半岛海韵阁
'hai'yi'ban'dao'mei'hui'ge 海怡半岛美晖阁
'hai'yi'ban'dao'yi'yun'ge 海怡半岛怡韵阁
'hai'yi'gong'mao'zhong'xin 海怡工贸中心
'hai'yi'hao'yuan 海逸豪园
'hai'yi'jiu'dian 海逸酒店
'hai'yi'jun'chuo'jiu'dian 海逸君绰酒店
'hai'yu'ge 海愉阁
'hai'yuan'ju'le'bu 海员俱乐部
'hai'yuan'xun'lian'zhong'xin 海员训练中心
'hai'yue'hao'yuan 海悦豪园
'hai'yue'hua'yuan 海悦花园
'hai'yun'da'sha 海运大厦
'hai'yun'ge 海韵阁
'hai'yun'hua'yuan 海韵花园
'hai'yun'tai 海韵台
'hai'yun'xuan 海韵轩
'hai'yun'xuan'jiu'dian 海韵轩酒店
'hai'ze'jie 海泽街
'hai'zhu'lou 海珠楼
'hai'zhu'lu 海珠路
'han'bao'jiu'lou 汉宝酒楼
'han'cheng'jiu'dian 汉城酒店
'han'guo'guo'ji'xue'xiao 韩国国际学校
'han'hua'yuan 汉花园
'han'kou'dao 汉口道
'han'kou'dao'zong'zhan 汉口道总站
'han'lin'xuan 翰林轩
'han'pu'dun 汉普顿
'hang'shan'xi'lu 航膳西路
'hao'cai 好彩
'hao'de'jie'dao 郝德杰道
'hao'fei'wu'shou'ji'zhan'dui'mian 号废物收集站对面
'hao'fei'wu'shou'ji'zhan'men'wai 号废物收集站门外
'hao'fen'chang 号坟场
'hao'hua'gong'ye'da'sha 豪华工业大厦
'hao'hua'jiu'lou 豪华酒楼
'hao'hua'ting'yuan 豪华庭院
'hao'hua'xi'yuan 豪华戏院
'hao'jing 豪境
'hao'jing 豪景
'hao'jing'hua'yuan 豪景花园
'hao'jing'tai 浩景台
'hao'jing'wan 灏景湾
'hao'jue'zhong'xin 好爵中心
'hao'ke'yun'da'lou 号客运大楼
'hao'ke'yun'da'lou'li'jing'da'tang 号客运大楼离境大堂
'hao'ke'yun'da'lou'lv'you'che'zong'zhan 号客运大楼旅游车总站
'hao'ma'tou 号码头
'hao'men'wai 号门外
'hao'ming'yuan 浩明苑
'hao'shi'zhong'xin 好时中心
'hao'ting'xi'yuan 豪庭戏院
'hao'wei'wang'can'ting 好味王餐厅
'hao'yong 蚝涌
'hao'yuan 豪园
'hao'yun'zhong'xin 好运中心
'hao'zhao'nian'xing 好兆年行
'he'bang'jie 河傍街
'he'bei 河背
'he'bei'jie 河背街
'he'bei'shui'tang 河背水塘
'he'chuan'yao'zhong'xue 何传耀中学
'he'dong'dao 何东道
'he'dong'fu'ren'ji'nian'tang 何东夫人纪念堂
'he'dong'fu'ren'tang 何东夫人堂
'he'dong'qiao 何东桥
'he'fu'tang'shu'yuan 何福堂书院
'he'fu'zhong'xin 和富中心
'he'he'jian'cai'zhong'xin 合和建材中心
'he'he'shi'xin'cun 和合石新村
'he'he'xin'cun 和合新村
'he'he'zhong'xin 合和中心
'he'hua'chi 荷花池
'he'ji'da'sha 和记大厦
'he'jia'yuan 何家园
'he'jing'lou 和景楼
'he'ju 鹤咀
'he'keng 禾坑
'he'kui'li 禾葵里
'he'kui'lou 合葵楼
'he'lan'dao 赫兰道
'he'lan'jie 荷兰街
'he'le'cun 和乐村
'he'le'cun 和乐邨
'he'li'huo 荷李活
'he'li'huo'dao 荷李活道
'he'li'huo'dao 荷里活道
'he'li'huo'guang'chang 荷里活广场
'he'li'huo'guang'yi 荷里活广埸
'he'li'huo'hua'ting 荷李活华庭
'he'li'huo'shang'ye'zhong'xin 荷李活商业中心
'he'li'zhong'xin 合力中心
'he'liao'keng'cun 禾寮坑村
'he'long'jie 和隆街
'he'ming'gong'chang'da'sha 合明工厂大厦
'he'ming'yuan 和明苑
'he'mu'lu 和睦路
'he'pan'hua'yuan 河畔花园
'he'shan 鹤山
'he'shang'xiang 河上乡
'he'shang'xiang'you'le'yi 河上乡游乐埸
'he'she'ba'shi'zong'zhan 禾輋巴士总站
'he'she'cun 禾輋村
'he'she'cun 禾輋邨
'he'she'jie 禾輋街
'he'shou'ji'xiao'xue 何寿基小学
'he'sou 鹤薮
'he'sou'dao 鹤薮道
'he'tang'dao 荷塘道
'he'tang'ju'jie 禾塘咀街
'he'tang'ju'jie'fei'ya'gong'ye'zhong'xin 禾塘咀街飞亚工业中心
'he'wen'tian 何文田
'he'wen'tian'ba'shi'zong'zhan 何文田巴士总站
'he'wen'tian'cun 何文田邨
'he'wen'tian'cun'jing'wen'lou 何文田邨景文楼
'he'wen'tian'fang'shu'zong'bu 何文田房署总部
'he'wen'tian'guang'chang 何文田广场
'he'wen'tian'guang'yi 何文田广埸
'he'wen'tian'jie 何文田街
'he'wen'tian'nan'cun 何文田南邨
'he'wen'tian'shan'dao 何文田山道
'he'wen'tian'zheng'fu'he'shu 何文田政府合署
'he'xing'cun 和兴村
'he'yi'he'cun 和宜合村
'he'yi'he'dao 和宜合道
'he'yi'he'dao'gong'chang'qu 和宜合道工厂区
'he'yi'he'dao'yun'dong'chang 和宜合道运动场
'he'yi'lu 合益路
'he'yu'da'sha 和域大厦
'he'yuan'dong'jie 鹤园东街
'he'yuan'jie 鹤园街
'heng'an 恒安
'heng'an'ba'shi'zong'zhan 恒安巴士总站
'heng'an'cun 恒安村
'heng'an'cun 恒安邨
'heng'an'jing 蘅安径
'heng'an'zhan 恒安站
'heng'feng'ge 衡峰阁
'heng'feng'gong'ye 恒丰工业
'heng'feng'hua'yuan 恒峰花园
'heng'feng'yuan 恒丰园
'heng'feng'zhong'xin 恒丰中心
'heng'fu'hua'yuan 恒福花园
'heng'hui'jing 蘅晖径
'heng'jing'yuan 恒景园
'heng'kang'jie 恒康街
'heng'long 恒隆
'heng'long'jie 横龙街
'heng'sheng 恒生
'heng'sheng'shang'xue'shu'yuan 恒生商学书院
'heng'sheng'yin'hang 恒生银行
'heng'sheng'yin'hang'zong'hang 恒生银行总行
'heng'shun'yuan 恒顺园
'heng'tai'shan 横台山
'heng'tou'kan'cun 横头磡邨
'heng'tou'kan'dong'dao 横头磡东道
'heng'tou'kan'zhong'dao 横头磡中道
'heng'wo'zai'jie 横窝仔街
'heng'xiang'zhi'bing'chang 恒香制饼场
'heng'xin'da'sha 恒信大厦
'heng'xin'jing 蘅欣径
'heng'xue'jie 横壆街
'heng'zhou 横洲
'heng'zhou'fu'qing'cun 横洲福庆村
'heng'zhou'gong'ye 横州工业
'hong'da'lu 宏达路
'hong'da'xuan'jiu'jia 宏达轩酒家
'hong'de'dao 宏德道
'hong'de'ju 宏德居
'hong'e'lou 红萼楼
'hong'feng'da'sha 宏丰大厦
'hong'feng'tai 宏丰台
'hong'fu'hua'yuan 宏福花园
'hong'fu'hua'yuan'zong'zhan 宏福花园总站
'hong'fu'jie 鸿福街
'hong'fu'lou 宏富楼
'hong'fu'tang 鸿福堂
'hong'fu'yuan 宏福苑
'hong'guang'chang 红广场
'hong'guo'dao 鸿国道
'hong'ji'guo'ji 宏基国际
'hong'jing'hua'yuan 宏景花园
'hong'jing'hua'yuan'zong'zhan 宏景花园总站
'hong'jing'tai 泓景台
'hong'jing'yi 泓景壹
'hong'kan 红磡
'hong'kan'bei'gong'jie 红磡北拱街
'hong'kan'bi'li'jie 红磡庇利街
'hong'kan'che'zhan 红磡车站
'hong'kan'cun 红磡村
'hong'kan'cun 红磡邨
'hong'kan'dao'wei'an'zhong'xin 红磡道卫安中心
'hong'kan'fo'guang'jie 红磡佛光街
'hong'kan'guang'chang 红磡广场
'hong'kan'he'yuan'jie 红磡鹤园街
'hong'kan'huo'che'zhan 红磡火车站
'hong'kan'jia'wei'cun 红磡家维邨
'hong'kan'jie'shi 红磡街市
'hong'kan'ma'tou 红磡码头
'hong'kan'ma'tou'zong'zhan 红磡码头总站
'hong'kan'min'tai'jie 红磡民泰街
'hong'kan'min'yu'jie 红磡民裕街
'hong'kan'nan'dao 红磡南道
'hong'kan'ping'zhi'jie 红磡平治街
'hong'kan'qu'jie 红磡曲街
'hong'kan'shan'gu'dao 红磡山谷道
'hong'kan'tie'lu'zhan 红磡铁路站
'hong'kan'wan'zhong'xin 红磡湾中心
'hong'kan'zhan 红磡站
'hong'le'dao 红乐道
'hong'le'jie 宏乐街
'hong'li'dao 红荔道
'hong'li'jie 宏利街
'hong'mao'qiao 红毛桥
'hong'mao'qiao'cai'shi'chang 红毛桥菜市场
'hong'mei'gu 红梅谷
'hong'mian'dao 红棉道
'hong'mian'lu 红棉路
'hong'mian'lu'zhi'lu 红棉路支路
'hong'mian'yuan 红棉苑
'hong'qiao 红桥
'hong'qiao 虹桥
'hong'sheng'miao 洪圣庙
'hong'sheng'ye 洪圣爷
'hong'shi'zi'hui'zong'bu 红十字会总部
'hong'shui'qiao 洪水桥
'hong'shui'qiao'tie'lu'zhan 洪水桥铁路站
'hong'tian'guang'chang 宏天广场
'hong'wan'ban'dao 红湾半岛
'hong'wu'jiu'dian 红屋酒店
'hong'ye'lou 宏业楼
'hong'yuan'lu 洪元路
'hong'yuan'xuan'jiu'jia 宏远轩酒家
'hong'zao'tian'cun 红枣田村
'hong'zhao'lou 宏照楼
'hou'de'cun 厚德邨
'hou'de'cun'de'ze'lou 厚德邨德泽楼
'hou'de'shang'chang 厚德商场
'hou'he'jie 厚和街
'hou'ji'lou 候机楼
'hou'tang'xi 猴塘溪
'hou'wang'dao 侯王道
'hou'wang'gu'miao 侯王古庙
'hu'bao'bie'shu 虎豹别墅
'hu'bei'jie 湖北街
'hu'bi'lou 湖碧楼
'hu'chen'jin'zhi'zhong'xue 胡陈金枝中学
'hu'cui'lou 湖翠楼
'hu'di 虎地
'hu'di'ao 虎地坳
'hu'die'cun 蝴蝶邨
'hu'die'cun'die'xin'lou 蝴蝶邨蝶心楼
'hu'die'gu 蝴蝶谷
'hu'die'gu'xin'cun 蝴蝶谷新村
'hu'die'shan 蝴蝶山
'hu'die'tie'lu'zhan 蝴蝶铁路站
'hu'die'wan'gong'yuan 蝴蝶湾公园
'hu'jing'cun'hu'bi'lou 湖景邨湖碧楼
'hu'jing'cun'hu'cui'lou 湖景邨湖翠楼
'hu'jing'cun'hu'pan'lou 湖景邨湖畔楼
'hu'jing'hua'yuan 湖景花园
'hu'nan'jie 湖南街
'hu'pan'lou 湖畔楼
'hu'shi'su'she 护士宿舍
'hu'yuan 湖苑
'hu'zhong'da'sha 胡忠大厦
'hua'an'lou 华安楼
'hua'an'yuan 华安苑
'hua'cui'jie 华翠街
'hua'cui'yuan 华翠园
'hua'du'guang'chang 花都广场
'hua'du'hua'yuan 华都花园
'hua'du'yi'yuan 华都医院
'hua'feng'yuan 华峰园
'hua'fu 华富
'hua'fu'cun 华富村
'hua'fu'cun 华富邨
'hua'fu'cun'hua'an'lou 华富邨华安楼
'hua'fu'cun'hua'le'lou 华富邨华乐楼
'hua'fu'cun'hua'qing'lou 华富邨华清楼
'hua'fu'cun'hua'tai'lou 华富邨华泰楼
'hua'fu'dao 华富道
'hua'fu'shang'chang 华富商场
'hua'fu'zhong'zong'zhan 华富中总站
'hua'gui'ba'shi'zong'zhan 华贵巴士总站
'hua'gui'cun 华贵邨
'hua'gui'cun'ba'shi'zong'zhan 华贵邨巴士总站
'hua'hui'yuan 华慧园
'hua'jing'dao 华景道
'hua'jing'jie 华景街
'hua'jing'shan'zhuang 华景山庄
'hua'jing'shang'chang 华景商场
'hua'lan'lu 华兰路
'hua'le'gong'ye'zhong'xin 华乐工业中心
'hua'le'lou 华乐楼
'hua'li'cun 华荔邨
'hua'li'ge 华礼阁
'hua'lian'gong'ye'da'sha 华联工业大厦
'hua'lin'jing 华林径
'hua'mao'guang'chang 华懋广场
'hua'mei'da'jiu'dian 华美达酒店
'hua'ming'cun 华明邨
'hua'ming'cun'kang'ming'lou 华明邨康明楼
'hua'ming'cun'yao'ming'lou 华明邨耀明楼
'hua'ming'lu 华明路
'hua'ming'zong'zhan 华明总站
'hua'qiao'ri'bao 华侨日报
'hua'qing'lou 华清楼
'hua'ren'ge 华仁阁
'hua'ren'yong'yuan'fen'chang 华人永远坟场
'hua'run'bai'huo 华润百货
'hua'run'da'sha 华润大厦
'hua'run'jia'you'zhan 华润加油站
'hua'shang'jiu'dian 华商酒店
'hua'sheng'lou 华生楼
'hua'sheng'zhong'xin 华盛中心
'hua'tai 华泰
'hua'tai'lou 华泰楼
'hua'xin'cun 华心邨
'hua'xu'gong'yuan 花墟公园
'hua'xue'da'lou 化学大楼
'hua'yao'lu 华瑶路
'hua'yi'ge 华义阁
'hua'ying'zhong'xue 华英中学
'hua'yuan 华苑
'hua'yuan'cun 华员邨
'hua'yuan'da'sha 花园大厦
'hua'yuan'da'sha'xi'que'lou 花园大厦喜鹊楼
'hua'yuan'dao 花园道
'hua'yuan'dao'shan'ding'lan'che'zhan 花园道山顶缆车站
'hua'yuan'dao'zong'zhan 花园道总站
'hua'yuan'guo'ji 花园国际
'hua'yuan'jie 花园街
'hua'yuan'tai 花园台
'huai'an'lou 怀安楼
'huai'ren'lou 怀仁楼
'huai'yi'jie 怀义街
'huai'yi'lou 怀义楼
'huan'bao'yuan 环保园
'huan'cui'cun 环翠邨
'huan'cui'cun'jie'shi 环翠邨街市
'huan'cui'cun'ting'che'chang 环翠邨停车场
'huan'cui'cun'ze'cui'lou 环翠邨泽翠楼
'huan'cui'dao 环翠道
'huan'cui'jie'shi 环翠街市
'huan'jiao'dao 环角道
'huan'jiao'jing 环角径
'huan'mao'zhong'xin 环贸中心
'huan'qiu'da'sha 环球大厦
'huan'qiu'di'tie'zhan 环球地铁站
'huan'qiu'gang'tie'zhan 环球港铁站
'huan'qiu'jin'rong'zhong'xin 环球金融中心
'huan'qiu'zhong'xin 环球中心
'huang'da'xian 黄大仙
'huang'da'xian'gang'tie'zhan 黄大仙港铁站
'huang'da'xian'jing'shu 黄大仙警署
'huang'da'xian'miao 黄大仙庙
'huang'da'xian'tian'zhu'jiao'xiao'xue 黄大仙天主教小学
'huang'da'xian'tie'lu'zhan 黄大仙铁路站
'huang'da'xian'xia'cun 黄大仙下邨
'huang'da'xian'xiao'fang'ju 黄大仙消防局
'huang'da'xian'yi'yuan 黄大仙医院
'huang'da'xian'you'zheng'ju 黄大仙邮政局
'huang'da'xian'zhan 黄大仙站
'huang'da'xian'zhong'xin 黄大仙中心
'huang'da'xian'zong'zhan 黄大仙总站
'huang'di'shan'ji'nian'zhong'xue 黄棣珊纪念中学
'huang'du'da'sha 皇都大厦
'huang'hou'da'dao'dong 皇后大道东
'huang'hou'da'dao'xi 皇后大道西
'huang'hou'da'dao'zhong 皇后大道中
'huang'hou'jie 皇后街
'huang'hou'xiang'guang'chang 皇后像广场
'huang'jia'tai'ping'yang'jiu'dian 皇家太平洋酒店
'huang'jia'wei 黄家围
'huang'jin'hai'an'shang'chang 黄金海岸商场
'huang'jin'shang'chang 黄金商场
'huang'jin'yong'tan 黄金泳滩
'huang'jing'di 黄麖地
'huang'ke'jing'fen'xiao 黄克竞分校
'huang'ma'jiao'dao'gong'li'yi'ju 黄麻角道公立医局
'huang'ni'tou 黄泥头
'huang'ni'tou'ba'shi'zong'zhan 黄泥头巴士总站
'huang'ni'wu 黄泥屋
'huang'ni'yong'dao 黄泥涌道
'huang'ni'yong'shui'tang'gong'yuan 黄泥涌水塘公园
'huang'pu 黄埔
'huang'pu'gong'yuan 黄埔公园
'huang'pu'guang'chang 黄埔广场
'huang'pu'hua'yuan 黄埔花园
'huang'pu'hua'yuan'ba'shi'zong'zhan 黄埔花园巴士总站
'huang'pu'hua'yuan'zong'zhan 黄埔花园总站
'huang'pu'ji'zhi'dao 黄埔吉之岛
'huang'pu'xin'cun 黄埔新村
'huang'pu'xin'cun 黄埔新邨
'huang'pu'xin'cun'hong'kan'cun'er'qi 黄埔新村红磡村二期
'huang'ren'shu'yuan 皇仁书院
'huang'shi'ma'tou 黄石码头
'huang'shi'ma'tou'zong'zhan 黄石码头总站
'huang'ting 皇廷
'huang'yi'ao'cun 黄宜凹村
'huang'yu'tan 黄鱼滩
'huang'zhu'cun 黄竹村
'huang'zhu'jie 黄竹街
'huang'zhu'keng 黄竹坑
'huang'zhu'keng'cun 黄竹坑村
'huang'zhu'keng'cun 黄竹坑邨
'huang'zhu'keng'cun'di'yi'zuo 黄竹坑邨第一座
'huang'zhu'keng'cun'yi'zuo 黄竹坑邨一座
'huang'zhu'keng'dao 黄竹坑道
'huang'zhu'keng'lao'ren'fu'wu'zong'he'da'lou 黄竹坑老人服务综合大楼
'huang'zhu'keng'shi'nei'yun'dong'chang 黄竹坑室内运动场
'huang'zhu'keng'xin'wei 黄竹坑新围
'huang'zhu'wan 黄竹湾
'huang'zhu'yang 黄竹洋
'huang'zhu'yang'jie 黄竹洋街
'huang'zhu'yuan 黄竹园
'huang'zi'da'sha 皇子大厦
'hui'an'jie 惠安街
'hui'an'yuan 惠安苑
'hui'bai'yuan 辉百苑
'hui'feng'jie 惠风街
'hui'feng'yin'hang'zhong'xin 滙丰银行中心
'hui'feng'yuan 慧丰园
'hui'feng'zhong'xin 惠丰中心
'hui'feng'zhong'xin 汇丰中心
'hui'feng'zhong'xin 滙丰中心
'hui'feng'zong'hang 滙丰总行
'hui'feng'zong'hang'da'sha 汇丰总行大厦
'hui'jing'ge 会景阁
'hui'jing'hua'yuan 汇景花园
'hui'jing'hua'yuan 滙景花园
'hui'jing'xuan 慧景轩
'hui'jing'yuan 慧景园
'hui'kang 惠康
'hui'li'gong'ye'zhong'xin 汇力工业中心
'hui'min'lu 惠民路
'hui'quan'lu 惠荃路
'hui'quan'ti'yu'guan 蕙荃体育馆
'hui'sha'wei 灰沙围
'hui'xiang'dao 汇翔道
'hui'xiang'dao 滙翔道
'hui'yuan 慧园
'hui'zhan'xin'yi 会展新翼
'hui'zhi'zhong'xue 汇知中学
'hui'zhou'xiao'xue 惠州小学
'hui'zhou'xue'xiao 惠州学校
'huo'che'zhan 火车站
'huo'jia'dao 获嘉道
'huo'lun'tai 活伦台
'huo'tan 火炭
'huo'tan'cun 火炭村
'huo'tan'lu 火炭路
'huo'tan'song'tou'xia'lu 火炭松头下路
'huo'tan'tie'lu'zhan 火炭铁路站
'huo'tan'zhan 火炭站
'huo'zang'chang 火葬场
'ji'ai'xiao'xue 基爱小学
'ji'bi'li'jie 急庇利街
'ji'chang 机场
'ji'chang'bo'lan'guan 机场博览馆
'ji'chang'he'xin'ji'hua'zhan'lan'zhong'xin 机场核心计划展览中心
'ji'chang'jing'shu 机场警署
'ji'chang'ke'yun'da'lou 机场客运大楼
'ji'chang'kong'yun'zhong'xin 机场空运中心
'ji'chang'xiao'fang'ju 机场消防局
'ji'dao'zhong'xue 基道中学
'ji'de'li 积德里
'ji'di 鸡地
'ji'di'dao 基堤道
'ji'du'jiao'lian'he'yi'yuan 基督教联合医院
'ji'du'zhong'xin'tang 基督中心堂
'ji'guan'ju'ban'shi'chu 机管局办事处
'ji'hui'jie 积辉街
'ji'hui'jie 集辉街
'ji'hui'xiao'xue 基慧小学
'ji'li'chen'jie 机利臣街
'ji'li'hua'mu'qiu'hui 纪利华木球会
'ji'li'lu 基利路
'ji'li'shi'bei'lu 机利士北路
'ji'li'shi'nan'lu 机利士南路
'ji'li'wen'dao 忌利文道
'ji'li'wen'jie 机利文街
'ji'lian'fang 箕琏坊
'ji'lian'ge 箕琏阁
'ji'long'jie 基隆街
'ji'lv'bu'dui'su'she 纪律部队宿舍
'ji'qing'wei 吉庆围
'ji'rang'lu 击壤路
'ji'rong'xiao'xue 基荣小学
'ji'shan 鸡山
'ji'shun'xiao'xue 基顺小学
'ji'xi'jie 吉席街
'ji'xiao'zhong'xue 基孝中学
'ji'xin'zhong'xue 基新中学
'ji'yu'hu 鲫鱼湖
'ji'yuan 纪园
'ji'yue 基月
'ji'yun'jie 积运街
'ji'zhen'shi 急诊室
'ji'zhi'dao 吉之岛
'jia'an'da'sha 嘉安大厦
'jia'an'jie 嘉安街
'jia'bao 嘉宝
'jia'bing'da'dao 贾炳达道
'jia'cui'yuan 嘉翠园
'jia'dao'li'dao 嘉道理道
'jia'dao'li'nong'chang 嘉道理农场
'jia'de'shi'jia'you'zhan 加德士加油站
'jia'duo'jin'jie 加多近街
'jia'fu'cun 嘉福村
'jia'fu'hua'yuan 嘉芙花园
'jia'fu'tai 嘉富台
'jia'hao'jiu'dian 佳豪酒店
'jia'he'li'cun 嘉和里村
'jia'heng'wan 嘉亨湾
'jia'hu'shan'zhuang 嘉湖山庄
'jia'hu'shan'zhuang'cui'hu'ju 嘉湖山庄翠湖居
'jia'hu'shan'zhuang'jing'hu'ju 嘉湖山庄景湖居
'jia'hu'shan'zhuang'li'hu'ju 嘉湖山庄丽湖居
'jia'hu'shan'zhuang'mei'hu'ju 嘉湖山庄美湖居
'jia'hu'shan'zhuang'shang'hu'ju 嘉湖山庄赏湖居
'jia'hu'yin'zuo 嘉湖银座
'jia'hua'guo'ji 嘉华国际
'jia'hua'guo'ji'zhong'xin 嘉华国际中心
'jia'huang'tai 嘉皇台
'jia'hui'min'dao 加惠民道
'jia'hui'tai 嘉辉台
'jia'hui'yuan 嘉惠园
'jia'jing'cun 嘉径邨
'jia'jing'hua'yuan'ji'xin'rong'hua'yuan 嘉景花园及欣荣花园
'jia'jing'lu 佳景路
'jia'jing'yuan 嘉径苑
'jia'lan'zhong'xin 嘉兰中心
'jia'le 家乐
'jia'li'dong'fang 嘉里冻房
'jia'li'huo'yun'zhong'xin 嘉里货运中心
'jia'li'jian'kang'jie'huo'cang 嘉里健康街货仓
'jia'li'qian'huo'cang 嘉里乾货仓
'jia'li'yuan 嘉丽园
'jia'lian'wei'lao'dao 加连威老道
'jia'lie'shan'dao 加列山道
'jia'lin'bian'dao 嘉林边道
'jia'lin'ge 嘉林阁
'jia'long 甲龙
'jia'long'cun 嘉龙村
'jia'lu'lian'shan'dao 加路连山道
'jia'mei'hua'yuan 嘉美花园
'jia'mi'ai'li'xin'zhong'xue 迦密爱礼信中学
'jia'mi'cun'jie 加密村街
'jia'mi'cun'jie 迦密村街
'jia'mi'zhong'xue 迦密中学
'jia'min'lou 嘉民楼
'jia'ning'jie 加宁街
'jia'nuo'sa'sheng'jia'xue'xiao 嘉诺撒圣家学校
'jia'po'shan 嘉珀山
'jia'qiang'yuan 嘉强苑
'jia'qin'pi'fa'shi'chang 家禽批发市场
'jia'rong'jie 嘉荣街
'jia'sheng'yuan 嘉盛苑
'jia'shi'ju'dao 加士居道
'jia'wei'cun 家维村
'jia'wei'cun 家维邨
'jia'xian'da'sha 嘉贤大厦
'jia'xuan'guang'chang 嘉轩广场
'jia'ye'jie 嘉业街
'jia'yuan 嘉苑
'jia'zhao'da'sha 嘉兆大厦
'jia'zhou'hua'yuan 加州花园
'jian'bi'ju 尖鼻咀
'jian'dao 坚道
'jian'dao'hua'yuan 坚道花园
'jian'dao'ming'ai 坚道明爱
'jian'dong 尖东
'jian'dong'guang'chang 尖东广场
'jian'kang'cun 健康村
'jian'kang'dong'jie 健康东街
'jian'kang'jie 健康街
'jian'kang'xi'jie 健康西街
'jian'kang'zhong'jie 健康中街
'jian'le'jie 建乐街
'jian'li'ge 坚丽阁
'jian'min'lou 建民楼
'jian'ming'cun 健明邨
'jian'na'dao'ba'shi'zhuan'yong'xian 坚拿道巴士专用线
'jian'na'dao'dong 坚拿道东
'jian'na'dao'xi 坚拿道西
'jian'ni'di'cheng 坚尼地城
'jian'ni'di'cheng'ba'shi'zong'zhan 坚尼地城巴士总站
'jian'ni'di'cheng'hai'pang 坚尼地城海旁
'jian'ni'di'cheng'zong'zhan 坚尼地城总站
'jian'ni'di'dao 坚尼地道
'jian'ni'di'dao'zhan 坚尼地道站
'jian'quan'jie 健全街
'jian'sha'zui 尖沙咀
'jian'sha'zui'de'cheng'jie 尖沙咀德成街
'jian'sha'zui'dong 尖沙咀东
'jian'sha'zui'dong'zong'zhan 尖沙咀东总站
'jian'sha'zui'hai'fang'dao 尖沙咀海防道
'jian'sha'zui'jing'shu 尖沙咀警署
'jian'sha'zui'ma'tou 尖沙咀码头
'jian'sha'zui'mo'di'dao 尖沙咀麽地道
'jian'sha'zui'tian'xing'ma'tou 尖沙咀天星码头
'jian'sha'zui'ya'shi'li'dao'zong'zhan 尖沙咀亚士厘道总站
'jian'sha'zui'zhong'jian'dao 尖沙咀中间道
'jian'sha'zui'zhong'xin 尖沙咀中心
'jian'shen'jing 健身径
'jian'sheng'cun 建生邨
'jian'sheng'cun'le'sheng'lou 建生邨乐生楼
'jian'sheng'cun'tai'sheng'lou 建生邨泰生楼
'jian'sheng'zong'zhan 建生总站
