'ai'er'bu'lang'ji 埃尔布朗基
'dan'mu'shi'jue 单目视觉
'dan'ni'si'li'qi 丹尼斯里奇
'dan'pian'cun'chu'qi 单片存储器
'dan'pian'ji 单片机
'dan'pian'ji'suan'ji 单片计算机
'dan'pian'xi'tong 单片系统
'dan'ren'wu 单任务
'dan'ru 淡入
'dan'ru'kou'dian 单入口点
'dan'se'tu'xing'shi'pei'qi 单色图形适配器
'dan'se'xian'shi 单色显示
'dan'se'xian'shi'shi'pei'qi 单色显示适配器
'dan'shi'jian'fan'zhuan 单事件翻转
'dan'shi'jian'suo'ding 单事件锁定
'dan'shi'jian'xiao'ying 单事件效应
'dan'shu'ju'liu 单数据流
'dan'shu'ju'su'lv 单数据速率
'dan'tiao'yu'ju 单条语句
'dan'wei 单位
'dan'wen'chu'fa'dian'lu 单稳触发电路
'dan'xian'cheng 单线程
'dan'xiang'chuan'bo'shi'jian 单向传播时间
'dan'xiang'chuan'shu 单向传输
'dan'xiang'gong'zuo 单向工作
'dan'xiang'gu'zhang 单向故障
'dan'xiang'han'shu 单向函数
'dan'xiang'jia'mi 单向加密
'dan'xiang'mi'ma 单向密码
'dan'xiang'san'lie'han'shu 单向散列函数
'dan'xiang'tong'xin 单向通信
'dan'xiang'zhan'zi'dong'ji 单向栈自动机
'dan'xiao'shuang'jian 单校双检
'dan'xi'tong'ying'xiang 单系统映像
'dan'xuan'an'niu 单选按钮
'dan'yan'li'ti 单眼立体
'dan'yao'mi'ma'xi'tong 单钥密码系统
'dan'ye'zhi 单页纸
'dan'yi 单义
'dan'yi'bian'zhi'kong'jian 单一编址空间
'dan'yi'sheng'cheng'shi 单一生成式
'dan'yong'hu 单用户
'dan'yong'hu'cao'zuo'xi'tong 单用户操作系统
'dan'yong'hu'ji'suan'ji 单用户计算机
'dan'yuan 单元
'dan'yuan'bian'ma 单元编码
'dan'yuan'ce'shi 单元测试
'dan'yuan'ge'dao'wen'jian 单元格到文件
'dan'zhi'ling 单指令
'dan'zhi'ling'liu'duo'shu'ju'liu 单指令流多数据流
'dan'zi'jie'jiao'zheng 单字节校正
'dan'zong'xian 单总线
'dao'ban 盗版
'dao'ban'jiao 到半角
'dao'ban'ruan'jian 盗版软件
'dao'chang'zheng'shu 到长整数
'dao'chu'biao 导出表
'dao'chu'gui'ze 导出规则
'dao'chu'shui'ping'fen'pian 导出水平分片
'dao'chu'wen'jian 导出文件
'dao'dai 倒带
'dao'duan'zheng'shu 到短整数
'dao'han 倒焊
'dao'hang 导航
'dao'hao 盗号
'dao'jian'chuan'rao 道间串扰
'dao'mi'du 道密度
'dao'pai'suo'yin 倒排索引
'dao'quan'jiao 到全角
'dao'ru'gui'yue 导入规约
'dao'ru'he'dao'chu'shu'ju 导入和导出数据
'dao'ru'shou'cang 导入收藏
'dao'shou'ji'lu 到首记录
'dao'shu'gu'ji 导数估计
'dao'wei'ji'lu 到尾记录
'dao'xiao'xie 到小写
'dao'xun'huan'wei 到循环尾
'dao'yong'dian'hua'xian'lu'zhe 盗用电话线路者
'dao'zhao'wen'ben 倒找文本
'dao'zhao'zi'jie'ji 倒找字节集
'dao'zheng'shu 到整数
'dao'zi'jie 到字节
'dao'zi'jie'ji 到字节集
'da'ping'mu'xian'shi'qi 大屏幕显示器
'da'rong'liang'cun'chu'qi 大容量存储器
'da'shu'ju 大数据
'da'xian'qie'ting 搭线窃听
'da'xiao'xie'bu'min'gan 大小写不敏感
'da'xiao'xie'chi'dun 大小写迟钝
'da'xiao'xie'min'gan 大小写敏感
'da'xing'ji 大型机
'da'xing'ji'suan'ji 大型计算机
'da'yin'fu'wu'qi 打印服务器
'da'yin'ji 打印机
'da'yin'ji'ji'xin 打印机机芯
'da'yin'ji'tuo'jia 打印机托架
'da'yin'tou 打印头
'da'yin'wei 大音位
'da'yin'xuan'xiang 打印选项
'da'yin'zhi'liang 打印质量
'da'yu'sou'suo 大于搜索
'da'yu'zhong 大语种
'da'zhi'zhu 大蜘蛛
'deng'chang'bian'ma 等长编码
'deng'dai 等待
'deng'dai'biao 等待表
'deng'dai'bi'mian 等待避免
'deng'dai'dui'lie 等待队列
'deng'dai'shi'jian 等待时间
'deng'dai'yin'cang 等待隐藏
'deng'dai'zhuang'tai 等待状态
'deng'ji 等级
'deng'jia'biao'zhi 等价标识
'deng'jia'biao'zhi'bian'liang 等价标识变量
'deng'jia'guan'xi 等价关系
'deng'jia'wen'ti 等价问题
'deng'jia'yun'suan 等价运算
'deng'kuan'suo'fang 等宽缩放
'deng'lian'jie 等联结
'deng'li'zi 等离子
'deng'lu 登录
'deng'lu'jiao'ben 登录脚本
'deng'lu'lu'jing'jian'ce 登陆路经检测
'deng'lu'mo'shi 登录模式
'deng'shi'luo'ji 等式逻辑
'deng'shi'xi'tong 等式系统
'deng'zhi'lian'jie 等值连接
'deng'zhi'xian'tu 等值线图
'deng'zhou'ce'tou'ying 等轴测投影
'de'shang'xian 地上线
'dian'bao'ma 电报码
'dian'ci'fu'she 电磁辐射
'dian'ci'shi'da'yin'tou 电磁式打印头
'dian'dao 点刀
'dian'dao'dian 点到点
'dian'dao'dian'sui'dao'xie'yi 点到点隧道协议
'dian'dao'dian'xie'yi 点到点协议
'dian'dian'tong 点点通
'dian'du'bao'mo'ci'pan 电镀薄膜磁盘
'dian'dui'dian'lian'jie 点对点连接
'dian'dui'dian'sui'dao'xie'yi 点对点隧道协议
'dian'dui'dian'tong'xin 点对点通信
'dian'dui'dian'xie'yi 点对点协议
'dian'dui'duo'dian'tong'xin 点对多点通信
'dian'du'mo'pan 电镀膜盘
'dian'fen'shi'jin'zhi'ji'fa 点分十进制记法
'dian'fen'xing'shi 点分形式
'dian'guang'yuan 点光源
'dian'he'ou'he'cun'chu'qi 电荷耦合存储器
'dian'hua'jiao'huan'ji 电话交换机
'dian'ji 点集
'dian'jian'suo 点检索
'dian'ji'mo'zu 电机模组
'dian'ji'she'bei 点击设备
'dian'ke'jian'xing 点可见性
'dian'kou 电口
'dian'kou'zhuan'guang'kou 电口转光口
'dian'liu'xing'luo'ji 电流型逻辑
'dian'liu'yuan 电流源
'dian'lu'bao'hu'qi 电路保护器
'dian'lu'ceng 电路层
'dian'lu'chuan'song'mo'shi 电路传送模式
'dian'lu'jiao'huan 电路交换
'dian'lu'jiao'huan'gong'yong'shu'ju'wang 电路交换公用数据网
'dian'lu'jiao'huan'shu'ju'wang 电路交换数据网
'dian'lu'jiao'huan'wang 电路交换网
'dian'lu'ji'wang'guan 电路级网关
'dian'lu'nei'ce'shi 电路内测试
'dian'ping'min'gan'sao'miao'she'ji 电平敏感扫描设计
'dian'qi'gong'cheng'shi 电气工程师
'dian'qi'xing'neng 电气性能
'dian'rong'shi'chu'mo'ping 电容式触摸屏
'dian'shi'hui'yi 电视会议
'dian'shi'qiang 电视墙
'dian'wen 电文
'dian'xing'shu'zi'shui'yin'suan'fa 典型数字水印算法
'dian'xin'hao 电信号
'dian'ya'dian'liu'qu'xian 电压电流曲线
'dian'ya'jie'yue 电压阶跃
'dian'ye'si'fu'dian'ji 电液伺服电机
'dian'yuan'fen'pei'xi'tong 电源分配系统
'dian'yuan'gen'zong 电源跟踪
'dian'yuan'kong'zhi'wei'ma 电源控制微码
'dian'yuan'ping'mu 电源屏幕
'dian'yuan'zong'xian 电源总线
'dian'yun'suan 点运算
'dian'zhen'da'yin'ji 点阵打印机
'dian'zhen'jing'du 点阵精度
'dian'zhen'ji'shu 点阵技术
'dian'zhi'bian'se'xian'shi'qi 电致变色显示器
'dian'zhi'fa'guang'xian'shi'qi 电致发光显示器
'dian'zhi'shu 电纸书
'dian'zhuang'hua 点状化
'dian'zhuo'shi'yin'shua'ji 电灼式印刷机
'dian'zi'biao'ge 电子表格
'dian'zi'chu'ban 电子出版
'dian'zi'chu'ban'wu 电子出版物
'dian'zi'chu'ban'xi'tong 电子出版系统
'dian'zi'er 电子耳
'dian'zi'fu'kuan 电子付款
'dian'zi'fu'wu 电子服务
'dian'zi'guan 电子管
'dian'zi'han'jian 电子函件
'dian'zi'han'jian'di'zhi 电子函件地址
'dian'zi'hui'yi'xi'tong 电子会议系统
'dian'zi'jian'shi 电子监视
'dian'zi'jin'rong 电子金融
'dian'zi'ji'suan'ji 电子计算机
'dian'zi'mei'ti 电子媒体
'dian'zi'qian'ming 电子签名
'dian'zi'qi'jian 电子器件
'dian'zi'qing'bao 电子情报
'dian'zi'qi'pian 电子欺骗
'dian'zi'shang'wu 电子商务
'dian'zi'she'bei 电子设备
'dian'zi'she'ji'gui'ze 电子设计规则
'dian'zi'she'ji'zi'dong'hua 电子设计自动化
'dian'zi'shen'ru 电子渗入
'dian'zi'shi'chang 电子市场
'dian'zi'shu 电子书
'dian'zi'shu'ju'jiao'huan 电子数据交换
'dian'zi'shu'ju'jiao'huan'xiao'xi 电子数据交换消息
'dian'zi'shu'zi'ji'fen'qi 电子数字积分器
'dian'zi'tu'shu'guan 电子图书馆
'dian'zi'wen'ben 电子文本
'dian'zi'xiao'xi'chu'li 电子消息处理
'dian'zi'xi'pi'shi'ji'ti 电子嬉皮士集体
'dian'zi'yin'hang'ye'wu 电子银行业务
'dian'zi'you'jian 电子邮件
'dian'zi'you'jian'bie'ming 电子邮件别名
'dian'zi'you'jian'di'zhi 电子邮件地址
'dian'zi'you'jian'gong'ji 电子邮件攻击
'dian'zi'you'jian'qi'pian 电子邮件欺骗
'dian'zi'you'jian'wei'zao 电子邮件伪造
'dian'zi'yuan'ma'shu 电子源码书
'dian'zi'za'zhi 电子杂志
'dian'zi'zhao'xiang'yin'shua'ji 电子照相印刷机
'dian'zi'zheng'ju 电子证据
'dian'zi'zi'jin'zhuan'zhang'xi'tong 电子资金转账系统
'dian'zu'fu'zai 电阻负载
'dian'zu'pai 电阻排
'dian'zu'sun'hao 电阻损耗
'dian'zu'yin'xian'dian'gan 电阻引线电感
'diao'du 调度
'diao'du'biao 调度表
'diao'du'ce'lue 调度策略
'diao'du'cheng'xu 调度程序
'diao'du'cheng'xu'deng'dai'dui'lie 调度程序等待队列
'diao'du'cheng'xu'gong'zuo'qu 调度程序工作区
'diao'du'dui'lie 调度队列
'diao'du'fang'shi 调度方式
'diao'du'gui'ze 调度规则
'diao'du'jian'kong'ji'suan'ji 调度监控计算机
'diao'du'mo'kuai 调度模块
'diao'du'suan'fa 调度算法
'diao'du'wen'ti 调度问题
'diao'du'xin'xi'chi 调度信息池
'diao'du'zi'yuan 调度资源
'diao'du'zuo'ye 调度作业
'diao'su'qu'mian 雕塑曲面
'diao'xian 掉线
'diao'xing'bian'hua 调形变化
'diao'yong 调用
'diao'yong'biao 调用表
'diao'yong'cheng'xu 调用程序
'diao'yong'zhe 调用者
'diao'yu 钓鱼
'diao'yu'gong'ji 钓鱼攻击
'diao'yu'zhe 钓鱼者
'di'ban 底板
'di'ceng'yu'yan 底层语言
'di'cheng'ben'zi'dong'hua 低成本自动化
'di'dian'ping'zhuang'tai'te'xing 低电平状态特性
'di'dian'ya'cha'dong'xin'hao 低电压差动信号
'di'dian'ya'zheng'dian'yuan'she'ji'ou'he'luo'ji 低电压正电源射极耦合逻辑
'die'dai 迭代
'die'dai'diao'du'fen'pei'fang'fa 迭代调度分配方法
'die'dai'gai'jin 迭代改进
'die'dai'qi 迭代器
'die'dai'sou'suo 迭代搜索
'die'jia 叠加
'die'pian'shi'ci'tou 叠片式磁头
'di'er'ceng'sui'dao'xie'yi 第二层隧道协议
'di'er'ceng'zhuan'fa'xie'yi 第二层转发协议
'di'er'dai'ji'suan'ji 第二代计算机
'di'er'dai'yu'yan 第二代语言
'di'er'fan'shi 第二范式
'di'er'zhe'xu'ni'xian'shi 第二者虚拟现实
'die'shi'pai'lie 蝶式排列
'die'xing 蝶形
'die'yin 叠印
'di'fang'zhu'ce'ji'gou 地方注册机构
'di'gong'hao 低功耗
'di'gui'cha'xun 递归查询
'di'gui'ding'li 递归定理
'di'gui'fang'fa 递归方法
'di'gui'gu'ji 递归估计
'di'gui'han'shu 递归函数
'di'gui'ji'suan 递归计算
'di'gui'ke'mei'ju'yu'yan 递归可枚举语言
'di'gui'kuai'bian'ma 递归块编码
'di'gui'li'cheng 递归例程
'di'gui'suan'fa 递归算法
'di'gui'xiang'liang 递归向量
'di'gui'xiang'liang'zhi'ling 递归向量指令
'di'gui'yu'yan 递归语言
'di'gui'zhuan'yi'wang'luo 递归转移网络
'di'jie'kong'zhi 递阶控制
'di'ji'ge'shi'hua 低级格式化
'di'ji'hu'chi 低级互斥
'di'ji'yu'yan 低级语言
'di'ka'er'ji 笛卡儿积
'di'ka'er'ji 笛卡尔积
'di'li'xin'xi'xi'tong 地理信息系统
'ding'bi'bian'huan 定比变换
'ding'chang'de 定长的
'ding'dian'fu'gai 顶点覆盖
'ding'dian'hun'he 顶点混合
'ding'dian'ji'suan'ji 定点计算机
'ding'dian'shu 定点数
'ding'dian'yun'suan 定点运算
'ding'jie'fu 定界符
'ding'ji'jie'dian 顶级结点
'ding'liang'jie'gou 定量结构
'ding'liang'tu'xiang'fen'xi 定量图像分析
'ding'li'zheng'ming'qi 定理证明器
'ding'ming'jie'gou 定名结构
'ding'qi'wei'hu 定期维护
'ding'shi'cha'sha 定时查杀
'ding'shi'fen'xi 定时分析
'ding'shi'mai'chong'fen'pei'qi 定时脉冲分配器
'ding'shi'qi 定时器
'ding'shi'ren'wu 定时任务
'ding'shi'yue'shu 定时约束
'ding'shi'zha'dan 定时炸弹
'ding'wei 定位
'ding'wei'chong'fu'wu'cha 定位重复误差
'ding'wei'qi 定位器
'ding'wei'shi'jian 定位时间
'ding'wei'xie'chu 定位写出
'ding'wei'xin'dao 定位信道
'ding'xiang'sou'suo 定向搜索
'ding'xiang'ying'xiao 定向营销
'ding'xing'miao'shu 定性描述
'ding'xing'tui'li 定性推理
'ding'xing'wu'li 定性物理
'ding'yi'fu 定义符
'ding'yi'hua'bi 定义画笔
'ding'yi'jie'duan 定义阶段
'ding'yi'ji'qi'zhi'neng 定义机器智能
'ding'yi'shu'ju'lei'xing 定义数据类型
'ding'yi'xian'ding 定义限定
'ding'yi'xing 定义性
'ding'yi'xing'chu'xian 定义性出现
'ding'yi'yu 定义域
'ding'yi'zi'ding'xing'zhuang 定义自定形状
'ding'zhi 定址
'ding'zhi 定指
'ding'zhi'kong'jian 定址空间
'di'ou'he 低耦合
'di'pei'zhi 低配置
'di'qiu'de 地球地
'di'san'dai 第三代
'di'san'dai'ji'suan'ji 第三代计算机
'di'san'dai'yu'yan 第三代语言
'di'san'fang 第三方
'di'san'fang'bao'guan'de'mi'ma 第三方保管的密码
'di'san'fang'jia'mi'biao'zhun 第三方加密标准
'di'san'fang'mi'yue 第三方密钥
'di'san'fan'shi 第三范式
'di'si'dai'ji'suan'ji 第四代计算机
'di'si'dai'yu'yan 第四代语言
'di'si'fan'shi 第四范式
'di'tong'lv'bo'qi 低通滤波器
'di'tui'guan'xi 递推关系
'di'tui'lian'xiang'pin'yin'shu'ru'fa 递推联想拼音输入法
'diu'bao 丢包
'diu'shi'zhong'duan'chu'li'cheng'xu 丢失中断处理程序
'di'wang 地网
'di'wen'xiao'guo 底纹效果
'di'wu'dai'ji'suan'ji 第五代计算机
'di'wu'dai'yu'yan 第五代语言
'di'wu'fan'shi 第五范式
'di'yi'dai'ji'suan'ji 第一代计算机
'di'yi'dai'yu'yan 第一代语言
'di'yi'fan'shi 第一范式
'di'zhen'ceng'xi'cheng'xiang 地震层析成像
'di'zhi 地址
'di'zhi'bian'huan 地址变换
'di'zhi'chao'zai 地址超载
'di'zhi'dai'huan 地址代换
'di'zhi'fan'yi 地址翻译
'di'zhi'ge'shi 地址格式
'di'zhi'guan'li 地址管理
'di'zhi'ji'cun'qi 地址寄存器
'di'zhi'jie'xi 地址解析
'di'zhi'jie'xi'xie'yi 地址解析协议
'di'zhi'jie'xi'xie'yi'qi'pian 地址解析协议欺骗
'di'zhi'kong'jian 地址空间
'di'zhi'lan 地址栏
'di'zhi'lan'sou'suo 地址栏搜索
'di'zhi'qi'pian 地址欺骗
'di'zhi'tou'du 地址投毒
'di'zhi'yan'ma 地址掩码
'di'zhi'yi'ma'qi 地址译码器
'di'zhi'ying'she 地址映射
'di'zhi'yu'yue 地址预约
'di'zhi'zi'duan 地址字段
'di'zhi'zong'xian 地址总线
'dong'bin'jie'gou 动宾结构
'dong'bu'fu'he'ci 动补复合词
'dong'ci'duan'yu 动词短语
'dong'ci'yu'yi'xue 动词语义学
'dong'ci'zu 动词组
'dong'duo'tai 动多态
'dong'hua 动画
'dong'hua'hui'zhi 动画绘制
'dong'jie'biao'ji 冻结标记
'dong'jie'ci 动介词
'dong'jing'duo'tai 动静多态
'dong'long'jin'xiao'cun'ruan'jian 东龙进销存软件
'dong'tai 动态
'dong'tai'bang'ding 动态绑定
'dong'tai'bao'hu 动态保护
'dong'tai'ce'shi 动态测试
'dong'tai'chong'ding'wei 动态重定位
'dong'tai'chong'gou 动态重构
'dong'tai'chong'ma'lv 动态重码率
'dong'tai'chu'li 动态处理
'dong'tai'chu'li'qi'fen'pei 动态处理器分配
'dong'tai'ci'pin 动态词频
'dong'tai'cun'chu'fen'pei 动态存储分配
'dong'tai'cun'chu'guan'li 动态存储管理
'dong'tai'cun'chu'qi 动态存储器
'dong'tai'cuo'wu 动态错误
'dong'tai'diao'du 动态调度
'dong'tai'di'zhi'zhuan'huan 动态地址转换
'dong'tai'fang'zhen 动态仿真
'dong'tai'fen'pai'xu'ni'biao 动态分派虚拟表
'dong'tai'fen'pei 动态分配
'dong'tai'fen'xi 动态分析
'dong'tai'fen'xi'qi 动态分析器
'dong'tai'gui'hua 动态规划
'dong'tai'gui'hua'fa 动态规划法
'dong'tai'han'zi'ping'jun'ma'chang 动态汉字平均码长
'dong'tai'huan'chong 动态缓冲
'dong'tai'huan'chong'qu 动态缓冲区
'dong'tai'huan'chong'qu'fen'pei 动态缓冲区分配
'dong'tai'jian'wei'fen'bu'xi'shu 动态键位分布系数
'dong'tai'ji'yi 动态记忆
'dong'tai'kong'jian 动态控件
'dong'tai'kong'zhi 动态控制
'dong'tai'lian'jie'ku 动态链接库
'dong'tai'liu'shui'xian 动态流水线
'dong'tai'lu'you'xuan'ze'xie'yi 动态路由选择协议
'dong'tai'mao'xian 动态冒险
'dong'tai'niu'xie 动态扭斜
'dong'tai'rong'yu 动态冗余
'dong'tai'sheng'cheng'cheng'xu 动态生成程序
'dong'tai'shi'jie'gui'hua 动态世界规划
'dong'tai'shua'xin 动态刷新
'dong'tai'shu'ju'bao'guo'lv 动态数据包过滤
'dong'tai'shu'ju'jiao'huan 动态数据交换
'dong'tai'sui'ji'cun'chu'qi 动态随机存储器
'dong'tai'ting'ji 动态停机
'dong'tai'wang'luo 动态网络
'dong'tai'wu'cha 动态误差
'dong'tai'xiang'guan'xing'jian'cha 动态相关性检查
'dong'tai'xian'shi 动态显示
'dong'tai'you'xian'ji 动态优先级
'dong'tai'you'xian'ji'diao'du 动态优先级调度
'dong'tai'you'xian'ji'suan'fa 动态优先级算法
'dong'tai'yu'ming 动态域名
'dong'tai'yu'ming'jie'xi 动态域名解析
'dong'tai'zhuan'yi'yu'ce 动态转移预测
'dong'tai'zhu'ji'pei'zhi'xie'yi 动态主机配置协议
'dong'tai'zi'ci'chong'ma'lv 动态字词重码率
'dong'tai'zi'ci'ping'jun'ma'chang 动态字词平均码长
'dong'tai'zi'yuan'fen'pei 动态资源分配
'dong'ya 动压
'dong'zuo'dong'ci 动作动词
'dong'zuo'gui'ze 动作规则
'dong'zuo'zhe 动作者
'dou'dong 抖动
'dou'dong'he 抖动盒
'duan'biao 段表
'duan'biao'di'zhi 段表地址
'duan'chang'du 段长度
'duan'cheng'ji'yi 短程记忆
'duan'dian 端点
'duan'dian'bian'ma 端点编码
'duan'dian'kai'guan 断点开关
'duan'dian'xu'chuan 断点续传
'duan'di'zhi 段地址
'duan'duan'jia'mi 端端加密
'duan'duan'mi'yao 端端密钥
'duan'dui'duan'chuan'song 端对端传送
'duan'fu'gai 段覆盖
'duan'hao 段号
'duan'jian'ju 段间距
'duan'jie 端接
'duan'jie'dian'ya 端接电压
'duan'jie'dian'yuan 端接电源
'duan'jie'dian'zu 端接电阻
'duan'jie'dian'zu'qi 端接电阻器
'duan'jie'er'ji'guan 端接二极管
'duan'jie'qi 端接器
'duan'ji'hao 端记号
'duan'kai 断开
'duan'kai'ke'hu 断开客户
'duan'kou 端口
'duan'kou'fan'she'fa 端口反射法
'duan'kou'jian'kong'cheng'xu 端口监控程序
'duan'kou'sao'miao 端口扫描
'duan'kou'sao'miao'gong'ji 端口扫描攻击
'duan'kou'sao'miao'gong'ju 端口扫描工具
'duan'lu'gu'zhang 短路故障
'duan'lu'gu'zhang 断路故障
'duan'lu'huo 短路或
'duan'lu'qi 断路器
'duan'lu'wei'zhi 断路位置
'duan'lu'yu 短路与
'duan'qi'diao'du 短期调度
'duan'shi'cun'chu'xi'tong 段式存储系统
'duan'shou'da'zi 段首大字
'duan'suo 段锁
'duan'ti'jiao'xie'yi 段提交协议
'duan'xian 短线
'duan'xin'fu'wu 短信服务
'duan'xin'ke'hu'duan 短信客户端
'duan'xi'tong 端系统
'duan'yan 断言
'duan'ying'she 段映射
'duan'yu'jie'gou'gui'ze 短语结构规则
'duan'yu'jie'gou'qi'yi 短语结构歧义
'duan'yu'jie'gou'shu 短语结构树
'duan'yu'jie'gou'yu'fa 短语结构语法
'duan'zheng'shu 短整数
'du'chu'dian'lu 读出电路
'du'chu'shi'jian 读出时间
'du'chu'xian 读出线
'du'dui'xiang'xing'shu'xing 读对象型属性
'du'fang'da'qi 读放大器
'du'fang'wen 读访问
'du'hou'xie 读后写
'du'huan'jing'bian'liang 读环境变量
'dui'bi'du'cao'zong 对比度操纵
'dui'bi'du'kuo'zhan 对比度扩展
'dui'bi'ling'min'du 对比灵敏度
'dui'ce'fang'zhen 对策仿真
'dui'ce'lun 对策论
'dui'chen 对称
'dui'chen'cao'zuo'xi'tong 对称操作系统
'dui'chen'chuan'shu'xian 对称传输线
'dui'chen'jia'mi'ti'zhi 对称加密体制
'dui'chen'jin'yao 对称金钥
'dui'chen'mi'ma 对称密码
'dui'chen'mi'ma'qi 对称密码器
'dui'chen'mi'ma'xi'tong 对称密码系统
'dui'chen'mi'yue 对称密钥
'dui'chen'shi'duo'chu'li'ji 对称式多处理机
'dui'chen'shi'mi'ma'xue 对称式密码学
'dui'deng 对等
'dui'di'ping'heng 对地平衡
'dui'hua'kong'zhi'kuai 对话控制块
'dui'hua'kuang 对话框
'dui'hua'mi'yue 对话密钥
'dui'hua'mo'xing 对话模型
'dui'huan 对换
'dui'huan'biao 对换表
'dui'huan'cheng'xu 对换程序
'dui'huan'fang'shi 对换方式
'dui'huan'fen'pei'dan'yuan 对换分配单元
'dui'huan'ji 对换集
'dui'huan'shi'jian 对换时间
'dui'huan'you'xian'ji 对换优先级
'dui'hua'xi'tong 对话系统
'dui'jiao'hua'fang'fa 对角化方法
'dui'jiao'xian'ce'shi 对角线测试
'dui'kong'jian 堆空间
'dui'lie 队列
'dui'lie'biao 队列表
'dui'lie'kong'zhi'kuai 队列控制块
'dui'liu 对流
'dui'ou'chan'sheng'qi 对偶产生器
'dui'ou'wang 对偶网
'dui'ou'yuan'li 对偶原理
'dui'ou'yun'suan 对偶运算
'dui'pai'xu 堆排序
'dui'qi 对齐
'dui'qi'dao 对齐到
'dui'qi'xian 对齐线
'dui'xiang'biao'zhi'fu 对象标识符
'dui'xiang'guan'li'jie'gou 对象管理结构
'dui'xiang'guan'li'qi 对象管理器
'dui'xiang'guan'li'zu 对象管理组
'dui'xiang'jian'mo 对象建模
'dui'xiang'jian'mo'ji'shu 对象建模技术
'dui'xiang'lian'jie 对象连接
'dui'xiang'lian'jie'yu'qian'ru 对象链接与嵌入
'dui'xiang'ming 对象名
'dui'xiang'mo'xing 对象模型
'dui'xiang'qing'qiu'dai'li 对象请求代理
'dui'xiang'shi 对象式
'dui'xiang'shi'bian'cheng'yu'yan 对象式编程语言
'dui'xiang'shi'cheng'xu'she'ji 对象式程序设计
'dui'xiang'shi'fang'fa 对象式方法
'dui'xiang'shi'fen'xi 对象式分析
'dui'xiang'shi'she'ji 对象式设计
'dui'xiang'shi'yu'yan 对象式语言
'dui'xiang'tu 对象图
'dui'xiang'xing'fang'fa 对象型方法
'dui'xiang'yin'yong 对象引用
'dui'xiang'zi'dian 对象字典
'dui'xie 对谐
'dui'ying'dian 对应点
'dui'zhan 堆栈
'dui'zhan'bu'ju 堆栈布局
'dui'zhan'cha'jian 堆栈插件
'dui'zhan'shu'zu 堆栈数组
'dui'zhun'wang'luo 对准网络
'du'jun'heng 读均衡
'du'liang 度量
'du'liang'gong'ju 度量工具
'du'liang'kong'jian 度量空间
'du'li'cheng'xu 独立程序
'du'li'cheng'xu'zhuang'ru'cheng'xu 独立程序装入程序
'du'li'fu'wu'qi 独立服务器
'du'lin'ji'tu'ling'ji 杜林机图灵机
'du'li'xing'gu'zhang 独立型故障
'du'li'yan'zheng'he'que'ren 独立验证和确认
'du'luo'de 杜洛德
'du'luo'ji'shu'xing 读逻辑属性
'du'nei'cun'wen'ben 读内存文本
'du'nei'cun'zheng'shu 读内存整数
'duo'ba'wei'bian'ma'zi'fu'ji 多八位编码字符集
'duo'bian'liang'kong'zhi'qi 多变量控制器
'duo'bian'pai'xu 多遍排序
'duo'bian'ti'bing'du 多变体病毒
'duo'bian'xing'cai'jian 多边形裁剪
'duo'bian'xing'chuang'kou 多边形窗口
'duo'bian'xing'fen'jie 多边形分解
'duo'bian'xing'mian'pian 多边形面片
'duo'bian'xing'qu'xiang 多边形取向
'duo'bian'xing'tu'fen'jie 多边形凸分解
'duo'biao'ji'shu 多标记树
'duo'bo 多播
'duo'bo'zhu'gan'wang 多播主干网
'duo'ce'lue'xie'shang 多策略协商
'duo'ceng'mo'shi 多层模式
'duo'ceng'yin'zhi'ban 多层印制板
'duo'cheng'fen'bing'du 多成分病毒
'duo'cheng'xu 多程序
'duo'chi'du'fen'xi 多尺度分析
'duo'chong 多重
'duo'chong'cheng'xu'zhuang'ru 多重程序装入
'duo'chong'chu'li 多重处理
'duo'chong'chu'li'cao'zuo'xi'tong 多重处理操作系统
'duo'chong'cun'qu'cun'chu'qi 多重存取存储器
'duo'chong'guan'xi 多重关系
'duo'chong'ji'cheng 多重继承
'duo'chong'liu'lan'qi 多重浏览器
'duo'chong'yi'chang 多重异常
'duo'chu'li'huan'jing 多处理环境
'duo'chu'li'ji 多处理机
'duo'chu'li'ji'cao'zuo'xi'tong 多处理机操作系统
'duo'chu'li'ji'xi'tong 多处理机系统
'duo'chu'li'qi 多处理器
'duo'chu'li'qi'diao'du 多处理器调度
'duo'chu'li'qi'fen'pei 多处理器分配
'duo'dai'tu'ling'ji 多带图灵机
'duo'dao'cheng'xu 多道程序
'duo'dao'cheng'xu'fen'pai 多道程序分派
'duo'dao'cheng'xu'she'ji 多道程序设计
'duo'dian 多点
'duo'dian'biao'ji 多点标记
'duo'dian'er'jin'zhi'wen'jian'chuan'song 多点二进制文件传送
'duo'dian'hui'yi 多点会议
'duo'dian'ji'hao 多点记号
'duo'dian'jing'zhi'tu'xiang'ji'zhu'shi 多点静止图像及注释
'duo'dian'kong'zhi'qi 多点控制器
'duo'dian'lian'jie 多点连接
'duo'dian'lu'you 多点路由
'duo'dian'tong'xin 多点通信
'duo'dian'tong'xin'fu'wu 多点通信服务
'duo'di'zhi'ji'suan'ji 多地址计算机
'duo'duan'kou'cun'chu'qi 多端口存储器
'duo'dui'duo'lian'xi 多对多联系
'duo'dui'xiang 多对象
'duo'dui'yi'lian'xi 多对一联系
'duo'fen'bian'lv 多分辨率
'duo'fen'bian'lv'fen'xi 多分辨率分析
