'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'chi'yu'hu'xie'reng'han'dong 池鱼戏叶仍含冻
'chi'yun'shen'hua'xiang'jiang'hu 赤云神化象江湖
'chi'yun'ya'de'feng'chen'juan 痴云压地风尘卷
'chi'yu'shi'ren'ting 持与世人听
'chi'yu'si'gu'yuan 池鱼思故渊
'chi'yu'yue'bu'tong 池鱼跃不同
'chi'zao'wo'ling'she 摛藻握灵蛇
'chi'zao'zi 赤枣子
'chi'zeng'jie'jiao'qin 持赠结交亲
'chi'zeng'long'xi'ren 持赠陇西人
'chi'zha'feng'yun'sheng 叱咤风云生
'chi'zha'mo'zhan'chang 叱咤万战场
'chi'zhang'bai'quan'huang 池涨百泉黄
'chi'zhang'man'ji'yue 赤张满稽曰
'chi'zhao'shou'ling'e 持诏守岭厄
'chi'zha'si'hai'dong 叱咤四海动
'chi'zha'yan'shi'xiong 叱咤掩时雄
'chi'zhi'ku'si'ju'shan'tao 持置酷似巨山陶
'chi'zhi'shi'qi'ye 赤之适齐也
'chi'zhi'you'gu 持之有故
'chi'zhi'zhou'zhi 驰之骤之
'chi'zhong'ban'gao'shui 池中半篙水
'chi'zhong'duan'zhao'jing'wei'yu 池中短棹惊微雨
'chi'zhong'jiu'shui'ru'xuan'jing 池中旧水如悬镜
'chi'zhong'niao'se'fan 池中鸟色翻
'chi'zhou'shan'zhong'da'ci'sheng 持轴山中大慈圣
'chi'zhuang'qin'xiao'yue 饬装侵晓月
'chi'zhuo'shou'dong'bei 持拙守东陂
'chi'zhu'shang'mo'zuo 持珠尚默坐
'chi'zi'pu'fu'jiang'ru'jing 赤子匍匐将入井
'chi'zi'shi'wan'lei 赤子视万类
'chi'zi'zhi'bu'gua'yi 赤子之布寡矣
'chi'zi'zhi'lei'duo'yi 赤子之累多矣
'chi'zu'yi'ke'shang 赤族亦可伤
'chong'an'ni'chang'ge'bian'che 重按霓裳歌遍彻
'chong'ban'fu'ci'chu 崇班复此除
'chong'ba'yi'zun'xun'jiu'jing 重把一尊寻旧径
'chong'biao'hen'yi'ai 冲飙恨易哀
'chong'biao'juan'sai'peng 冲飙卷塞蓬
'chong'bie'xi'lou'chang'duan'fou 重别西楼肠断否
'chong'bi'yi 重比翼
'chong'can'shi'zai'dao'ren'lin 宠参时宰道人琳
'chong'chao'bian'jiu'gai 崇朝遍九垓
'chong'chao'fang'jia'yu 崇朝方浃宇
'chong'chao'gou'hang'yu 崇朝遘行雨
'chong'chao'zheng'du'wu 崇朝蒸毒雾
'chong'cheng'bu'jian 重城不见
'chong'chong'jiang'wai'ping'hu 重重江外平湖
'chong'chong'lian'mu 重重帘幕
'chong'chong'lian'mu'mi'zhe'deng 重重帘幕密遮灯
'chong'chong'lian'mu'mi'zhe'deng 重重帘幕密折灯
'chong'chong'shi'hua 重重似画
'chong'chong'wang'fu'hai 憧憧往复还
'chong'chong'xin'xia 虫虫心下
'chong'chu'yi'ni'bing 虫出亦疑冰
'chong'die'guan'shan'qi'lu 重叠关山歧路
'chong'die'jin 重叠金
'chong'die'mu'shan'song'cui 重叠暮山耸翠
'chong'duan'guo'jiang'yun 冲断过江云
'chong'du'can'er'ju'zhi 舂牍残儿且止
'chong'en'jiang'zi'chen 崇恩降紫宸
'chong'en'qia'dai'yan 崇恩洽玳筵
'chong'en'yu'wu'ri 崇恩逾五日
'chong'er'xiu'shi 充耳琇实
'chong'fang'jiu'you'ren'bu'jian 重访旧游人不见
'chong'fang'wen'zhu'xi 重访问竹西
'chong'feng'biao'la'dong'ting'lu 冲风摽落洞庭渌
'chong'feng'chong'yu'zou'qi'xian 冲风冲雨走七县
'chong'feng'san'tian'chi 冲风散天池
'chong'feng'zhen'he'hai 冲风振河海
'chong'feng'zhen'he'shuo 冲风振河朔
'chong'fu'dang'nian'cheng 宠服当年盛
'chong'fu'li'bu'yi 充腹理不疑
'chong'fu'ling'yun'you'yi 重赋凌云游意
'chong'gan 重感
'chong'gan'kai 重感慨
'chong'gao'wei'qing'ya 崇高畏倾压
'chong'gao'zi'you'pei 崇高自有配
'chong'guan'yi'nu'wei'hong'yan 冲冠一怒为红颜
'chong'gu'chi'zuo'fan 舂谷持作饭
'chong'guo'chang'men'wan'shi'fei 重过阊门万事非
'chong'guo'hua'yu'si 充国画于斯
'chong'guo'sheng'nv'ci 重过圣女祠
'chong'huang'chu'bu'hai 虫蝗初不害
'chong'hui'mo'yu'dai 虫虺莫予毒
'chong'hu'zhi'shan'duo'feng 重糊纸扇多风
'chong'ji'ai'hai'xie 宠极爱还歇
'chong'jia'li 宠佳丽
'chong'jian'jiao 重检校
'chong'jian'leng'feng'hong'wu 重见冷枫红舞
'chong'jian'liang'shuai'weng 重见两衰翁
'chong'jian'yun'ying'zhang'shang'shen 重见云英掌上身
'chong'jiao'bie'li'xin'xu 重搅别离心绪
'chong'ji'de'ze'wu'bu'ke 重积德则无不克
'chong'jin'jiu 重进酒
'chong'jin'shang'lin'ni 冲襟赏临睨
'chong'jiu 重九
'chong'jiu'huang'fei'ri 宠就黄扉日
'chong'jiu'kai'qiu'jie 重九开秋节
'chong'jiu'ri 重九日
'chong'kai'yan 重开宴
'chong'lai'chang'shi'zhi 宠来常誓止
'chong'lai'shi'gen'na'dei'jiu 虫来食根那得久
'chong'lai'shi'shi'kan'jie 重来是事堪喈
'chong'lai'you'shi'san'nian 重来又是三年
'chong'lan'san'wan'fang 崇兰散晚芳
'chong'lan'wei'zhi'shi'ju'fang 崇兰委质时菊芳
'chong'lei'zhi'yi'zhi'jin'ye 充类至义之尽也
'chong'lian'wei'juan'ying'shen'shen 重帘未卷影沈沈
'chong'lian'xia'bian'lan'gan'qu 重帘下遍阑干曲
'chong'ling'qi'chu'fa 舂陵气初发
'chong'liu'jiao'hua'han'shi'jin 宠柳骄花寒食近
'chong'liu'jiao'hua'han'shi'jin 宠柳娇花寒食近
'chong'liu'liu'jiang'bian 种柳柳江边
'chong'man'tian'di 充满天地
'chong'meng'ju'jian'zhi'dong'zhi 艟艨巨舰直东指
'chong'men'shen'suo'wu'xun'chu 重门深锁无寻处
'chong'men'xu'bi 重门须闭
'chong'ming'dui'ma'yi'dai'shui 崇明对马衣带水
'chong'ming'shi'you'you 虫鸣室幽幽
'chong'ming'you'wo 宠命优渥
'chong'ming'zuo'ji'liao 虫鸣坐寂寥
'chong'mi'you'xiang 重觅幽香
'chong'po'long'tuan'qi'yun 冲破龙团气韵
'chong'qing'xiang'da'ming 崇亲享大名
'chong'qing'zhen'fu'zeng 冲情甄负甑
'chong'qi'wei'cang'sheng 重起为苍生
'chong'rang'bu'chen'yu 崇让不陈鱼
'chong'rang'yong'you'ge 重壤永幽隔
'chong'ru'fen'fen'yi'deng'kan 宠辱纷纷一等看
'chong'ru'ju'xiang'jing 宠辱讵相惊
'chong'ru'nai'ji'he 宠辱能几何
'chong'ru'nian'lai'wo'yi'ping 宠辱年来我亦平
'chong'ru'ruo'jing 宠辱若惊
'chong'ru'wu'jiu'wang 宠辱吾久忘
'chong'ru'xi'jiu'gui 崇儒习旧规
'chong'ru'yin'xi'zhen 崇儒引席珍
'chong'ru'zuo'xiang'jing 宠辱坐相惊
'chong'se'ren'yi'ye 充塞仁义也
'chong'shang'jing'gang'shan 重上井冈山
'chong'shang'jun'zi'tang 重上君子堂
'chong'shan'wo'ye'gen'qian'li 崇山沃野亘千里
'chong'shan'zhang'li'bu'kan'wen 崇山瘴疠不堪闻
'chong'sheng'jiong'ying'qiu 虫声迥映秋
'chong'sheng'qi'lou'jing'qiu'zhen 虫声泣露惊秋枕
'chong'sheng'ri'ye'jie'yi'qiu 虫声日夜戒衣裘
'chong'sheng'ru'luo'mu 虫声入罗幕
'chong'sheng'xin'tou'lv'chuang'sha 虫声新透绿窗纱
'chong'si'ri'zhao'ming 虫丝日照明
'chong'tao'dao'shi'gui'he'chu 种桃道士归何处
'chong'ti 重题
'chong'tian'xiang'zhen'tou'chang'an 冲天香阵透长安
'chong'ting'fu'li'yue 充庭富礼乐
'chong'ting'jiang'shou'li 充庭降受釐
'chong'ting'li'ge 重听骊歌
'chong'ting'wan'yu'bin 充庭万宇宾
'chong'ting'yan'yin'zhi 充庭延饮至
'chong'tou'ge'yun'xiang'zheng'cong 重头歌韵响铮琮
'chong'wang'chui'nian'lian'zhu 虫网吹粘帘竹
'chong'wang'lan'gan 虫网阑干
'chong'wei'qian'zhu'yuan 舂为芡珠圆
'chong'wei'shen'xia'mo'chou'tang 重帷深下莫愁堂
'chong'wei'wai'tai'shu'jin'shi 重委外台疏近侍
'chong'wei'xiang'dang'suo'xiao 重为乡党所笑
'chong'wen'liao'zhu'nian 崇文聊驻辇
'chong'wen'shi'zhu'bu 崇文时驻步
'chong'xiao'yun'lu 重霄云路
'chong'xi'cong'xian'jin 宠锡从仙禁
'chong'xie'qian'shou 重携纤手
'chong'xu'jie'zhan'lai'shang'bing 充虚解战赖汤饼
'chong'xun'shan'shui'jian'wu'yang 重寻山水间无恙
'chong'xun'wu'chu 重寻无处
'chong'xun'xian'jing'fei'yao 重寻仙径非遥
'chong'yang'geng'cha'huang'hua 重阳更插黄花
'chong'yang'jie'jin'duo'feng'yu 重阳节近多风雨
'chong'yang'jin 重阳近
'chong'yang'lei'la'ru'zhu 重阳泪落如珠
'chong'yan'shi'qi 重言十七
'chong'yi'en'shao'bao 宠移恩稍薄
'chong'yi'nai'wu'ming 崇义乃无明
'chong'yin'wei'jie 重阴未解
'chong'yin'ye'geng'you 虫吟夜更幽
'chong'yi'ping'duan 重倚屏端
'chong'yi'wu'zhi'bu'zu'jing 虫蚁无知不足惊
'chong'yi'xin'ai'duo 宠移新爱夺
'chong'yi'zhu'men'ting'ma'si 重倚朱门听马嘶
'chong'you'gan 重有感
'chong'you'jin'zun'kai 重有金樽开
'chong'you'xie'zhuang'shao 冲游谢壮少
'chong'yuan'ying'ti'mi'xie'jia 重院莺啼觅谢家
'chong'yu'he'suo'zhi 虫鱼何所知
'chong'yu'lu'wen'yue 充虞路问曰
'chong'yun'lin'an'hai 崇云临岸骇
'chong'yun'qiao'xi'tian'zi'ting 充云翘兮天子庭
'chong'yu'qing'yue 充虞请曰
'chong'yu'xi'lun'wen 重与细论文
'chong'zeng'dui'hu'an 宠赠追胡广
'chong'zhao'jin'tuan'yi 重照锦团奕
'chong'zhi'si'fang 宠之四方
'chong'zhong'zi'zhi'cao 充仲子之操
'chou'an'dai'mao'zan 愁安玳瑁簪
'chou'bing'song'chun'gui 愁病送春归
'chou'bing'xiang'guan 愁病相关
'chou'bing'xiang'reng 愁病相仍
'chou'bi'yi 筹笔驿
'chou'bu'gui'mian 愁不归眠
'chou'bu'mei 愁不寐
'chou'cao'shu'yi'yi 愁草树依依
'chou'cao'yi'hua'ming 愁草瘗花铭
'chou'ce'miao'tang'fei'suo'zhi 筹策庙堂非所知
'chou'chang'bie'hou'nai'xiao'jiu 愁肠别后能消酒
'chou'chang'bi'yun'zi 惆怅碧云姿
'chou'chang'cai'yun'fei 惆怅彩云飞
'chou'chang'chang'cen'chang 惆怅长岑长
'chou'chang'chi'cheng'ji 惆怅赤城期
'chou'chang'chun'guang'liu'bu'zhu 惆怅春光留不住
'chou'chang'chun'guang'you'yi'nian 惆怅春光又一年
'chou'chang'ci'qing'nan'ji 惆怅此情难寄
'chou'chang'cun'jie 愁肠寸结
'chou'chang'dai'jiu'shu 愁肠待酒舒
'chou'chang'dong'lan'er'zhu'xue 惆怅东栏二株雪
'chou'chang'duo'shi 惆怅多时
'chou'chang'du'wang'xin 惆怅独往心
'chou'chang'geng'chang'meng'duan 惆怅更长梦短
'chou'chang'gui'lai'you'yue'zhi 惆怅归来有月知
'chou'chang'hai'yi'jiu 惆怅还依旧
'chou'chang'han'gong'qing 惆怅汉公卿
'chou'chang'he'shang'yi 惆怅何伤已
'chou'chang'hong'chen'bai'shou'lang 惆怅红尘白首郎
'chou'chang'jing'sai'bei'wei'yi 惆怅惊思悲未已
'chou'chang'jiu'hou'rou 愁肠酒后柔
'chou'chang'jiu'huan'he'chu 惆怅旧欢何处
'chou'chang'jiu'huan'ru'meng 惆怅旧欢如梦
'chou'chang'kong'hui'shei'gong'yu 惆怅空回谁共语
'chou'chang'kong'zun 惆怅空樽
'chou'chang'ling'ren'lao 惆怅令人老
'chou'chang'li'qing 惆怅离情
'chou'chang'luan 愁肠乱
'chou'chang'luo'hua'feng'bu'ding 惆怅落花风不定
'chou'chang'man'zhi'hong 惆怅满枝红
'chou'chang'mu'yan'chui 惆怅暮烟垂
'chou'chang'nan'chao'shi 惆怅南朝事
'chou'chang'nan'lou'yao'ye 惆怅南楼遥夜
'chou'chang'qiang'dong 惆怅墙东
'chou'chang'qin'cheng'song'du'gui 惆怅秦城送独归
'chou'chang'qing'wei'yi 惆怅情未已
'chou'chang'qin'lou'dan'fen'lei 惆怅秦楼弹粉泪
'chou'chang'qi'yi'ding'xiang'jie 愁肠岂异丁香结
'chou'chang're'qian'sheng 愁肠若牵绳
'chou'chang'sha'he'shi'li'chun 惆怅沙河十里春
'chou'chang'shuang'yuan'bu'dao 惆怅双鸳不到
'chou'chang'sui'wei'qian 惆怅繐帷前
'chou'chang'suo 愁肠锁
'chou'chang'wei'ke'gui 惆怅未可归
'chou'chang'wu'yin'jian'fan'li 惆怅无因见范蠡
'chou'chang'xiang'si'chi'mu 惆怅相思迟暮
'chou'chang'xie'jia'chi'ge 惆怅谢家池阁
'chou'chang'yao'tian'heng'lu'shui 惆怅遥天横渌水
'chou'chang'yi'duan'wu'you'zui 愁肠已断无由醉
'chou'chang'you'shei'zhi 惆怅有谁知
'chou'chang'yue'bian'ren 惆怅月边人
'chou'chang'yun'chou'yu'yuan 惆怅云愁雨怨
'chou'chang'yu'yan'cheng'jian'zu 惆怅玉颜成间阻
'chou'chang'zhi'ming'fa 惆怅至明发
'chou'cheng'yan'qiu'ye'ji'shi'jian'zeng 酬程延秋夜即事见赠
'chou'chi'jiu'shi'jiu 仇池九十九
'chou'chi'lao'xian'wu'zi'ming 仇池老仙五字铭
'chou'chi'ying'ci'weng 仇池迎此翁
'chou'chi'yu'se'zi'cong'long 仇池玉色自璁珑
'chou'chu'bi'shang'zi 踌蹰壁上字
'chou'chu'chu'yu'gou 踌蹰出御沟
'chou'chu'er'yan'hang 踌躇而雁行
'chou'chu'lian'bei'gu 踌蹰恋北顾
'chou'chun'wei'xing 愁春未醒
'chou'chu'xiang'gu'bu'neng'gui 踌蹰相顾不能归
'chou'cu'mei'tou 愁蹙眉头
'chou'dan'ban'dun'shan'xia'hu 丑石半蹲山下虎
'chou'dan'han'song'wei'yi'qin 丑石寒松未易亲
'chou'dao'duan'shui'shui'geng'liu 抽刀断水水更流
'chou'dao'mei'feng'bi'ju 愁到眉峰碧聚
'chou'dao'xiao'ji'sheng'jue'hou 愁到晓鸡声绝后
'chou'du'ben'he'cang'mang'jian 愁渡奔河苍茫间
'chou'dui'han'yun'xue'man'shan 愁对寒云雪满山
'chou'duo'jiu'sui'shao 愁多酒虽少
'chou'duo'meng'bu'cheng 愁多梦不成
'chou'duo'ren'yi'lao 愁多人易老
'chou'duo'shao 愁多少
'chou'duo'shi'ju'jiu 愁多时举酒
'chou'duo'yuan'ji 愁多怨极
'chou'duo'zhi'ye'chang 愁多知夜长
'chou'e'nen'hua 愁蛾嫩画
'chou'fan'wu'xiu'chi 愁翻舞袖迟
'chou'feng'yue 愁风月
'chou'fen'tu'man'xiong 愁愤徒满胸
'chou'fu'fu'hua'wei'shen'qi 臭腐复化为神奇
'chou'fu'ke'yu'bai'tou 丑妇可与白头
'chou'fu'qian'qiu'wan'sui'tong'shi 丑妇千秋万岁同室
'chou'fu'si'shou'zhen 丑妇死守贞
'chou'ge'pa'wu 愁歌怕舞
'chou'gong'can'lu 愁红惨绿
'chou'gong'liu'tiao'xin 愁共柳条新
'chou'gong'luo'hua'duo 愁共落花多
'chou'gui'du'yan'fei 愁闺独掩扉
'chou'guo'gei'shi 酬郭给事
'chou'hai'sui'wo'shang'gao'lou 愁还随我上高楼
'chou'hao'song'wu'gong 抽毫颂武功
'chou'hao'xing'wei'wang 抽毫兴未忘
'chou'he'men 愁和闷
'chou'hen'bu'zhi'shu 愁恨不知数
'chou'hen'man'di'wu'ren'sheng 愁痕满地无人省
'chou'hen'nian'nian'zhang'xiang'si 愁恨年年长相似
'chou'hen'you'yi'ran 愁恨又依然
'chou'hou'nai'qi'jue'shuo'ma 仇侯能骑矍铄马
'chou'ji 愁极
'chou'jia'jie 酬佳节
'chou'jian'bie'li'shi 愁见别离时
'chou'jian'chang'yang'chun 愁见唱阳春
'chou'jiang'wang'gong'jie 愁将网共解
'chou'jian'jian'tu'yao 抽简荐徒谣
'chou'jian'ning'su'nuan'jian'rong 愁见凝酥暖渐融
'chou'jian'shui'yao'shan'yuan 愁见水遥山远
'chou'jian'tan'tou'ye'bo'chu 愁见滩头夜泊处
'chou'jian'wang'zhi'jing'zi'ye 丑见王之敬子也
'chou'jian'wen'zheng'tu 愁见问征途
'chou'jian'xi'feng'qian 愁见隙风牵
'chou'jian'ye'xing 愁见夜行
'chou'jian'zhi'zhu'zhi 愁见蜘蛛织
'chou'jie'luan'ru'ma 愁结乱如麻
'chou'jie'tian'xin'xiong 愁结填心胸
'chou'jin'gu 愁今古
'chou'jin'qing'shang 愁近清觞
'chou'ji'ren'qian'ji 愁寂任前期
'chou'jue're'huai'ren 愁绝若怀人
'chou'jue'zong'chen'xian'zei'shi 愁绝宗臣陷贼诗
'chou'ju'mei'feng'jin'ri'pin 愁聚眉峰尽日颦
'chou'kan'ji'bei'shi'chang'an 愁看冀北是长安
'chou'kan'sai'shang'lu 愁看塞上路
'chou'kan'yu'jing'tai 愁看玉镜台
'chou'kan'zhi'bei'shi'chang'an 愁看直北是长安
'chou'ke'juan'yin'hua'yi'jiu 愁客倦吟花以酒
'chou'ke'shuang'long'nv 酬客双龙女
'chou'ke'zuo'shan'wei 愁客坐山隈
'chou'kong'shan 愁空山
'chou'ku 愁苦
'chou'ku'xin'qin'qiao'cui'jin 愁苦辛勤憔悴尽
'chou'lai'bu'zi'chi 愁来不自持
'chou'lai'du'yi'men 愁来独倚门
'chou'lai'hao'zi'yi 愁来好自抑
'chou'lai'lu 愁来路
'chou'lai'qi'you'mo 愁来岂有魔
'chou'lai'tian'bu'guan 愁来天不管
'chou'lai'yi'ri'ji'wei'chang 愁来一日即为长
'chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng 酬乐天扬州初逢席上见赠
'chou'le'tian'yong'lao'jian'shi 酬乐天咏老见示
'chou'lian'chi'yi'ju 抽帘持益炬
'chou'li'gao'ge'liang'gong'yin 愁里高歌梁公吟
'chou'li'yu'fei'hai'zhu 愁里欲飞还住
'chou'man'jing'qi 愁满旌旗
'chou'man'yan'qian'xin'zi'zhi 愁满眼前心自知
'chou'mei'bu'zhan'chang'pin 愁眉不展长颦
'chou'mei'jie'jiu'en 愁眉结旧恩
'chou'mei'lian 愁眉敛
'chou'mei'lian'jin'wu'ren'jian 愁眉敛尽无人见
'chou'mei'liu'ye'pin 愁眉柳叶颦
'chou'mei'liu'ye'pin 愁眉柳叶嚬
'chou'mei'you'fu'di 愁眉又复低
'chou'men'wei'yu'wo 愁闷惟欲卧
'chou'men'yi'fan'xin 愁闷一番新
'chou'men'zhao'xi 愁闷朝夕
'chou'mian'luo'zhang'xiao 愁眠罗帐晓
'chou'mian'yan'ye'gui 愁眠掩夜闺
'chou'mi'li'xu'nan'zheng 愁迷离绪难整
'chou'mo'dei'jiu'zan'ben'mang 愁魔得酒暂奔忙
'chou'mou'feng'zhen'yuan'bei 绸缪凤枕鸳被
'chou'mou'jin'ding'xi 绸缪金鼎席
'chou'mou'shu'chu 绸缪束楚
'chou'mou'shu'chu 绸缪束刍
'chou'mou'shu'xin 绸缪束薪
'chou'mou'you'hu 绸缪牖户
'chou'mu'duan 愁目断
'chou'nu'er 丑奴儿
'chou'nu'er'jin 丑奴儿近
'chou'nu'er'ling 丑奴儿令
'chou'nu'er'man 丑奴儿慢
'chou'nv'xiao'zhi'tu'lei'shen 丑女效之徒累身
'chou'qian'lv 愁千缕
'chou'qian'suan'jian'kou 抽钱算间口
'chou'qian'xin'shang'lv 愁牵心上虑
'chou'qin'ge'zuo'yan 抽琴歌坐筵
'chou'qin'yan'di'chu'han'dong 愁侵砚滴初含冻
'chou'qi'wu'cang'yi'wei'ren'yi 愁其五藏以为仁义
'chou'quan'cong'jin'geng'bu'wei 酬劝从今更不违
'chou'ren'bu'mei'wei'zhen'xi 愁人不寐畏枕席
'chou'ren'dang'ci'xi 愁人当此夕
'chou'ren'duo'zi'lao 愁人多自老
'chou'ren'du'ye'kan 愁人独夜看
'chou'ren'guang'zhong'zi'shen'zhu 稠人广众自神主
'chou'reng'ye'wei'ji 愁仍夜未几
'chou'ren'pi'ci'yan'shuang 愁人披此严霜
'chou'ren'qi'wang'xiang'si 愁人起望相思
'chou'ren'ye'du'shang 愁人夜独伤
'chou'ren'ye'yong'bu'dei'mian 愁人夜永不得眠
'chou'ren'zhi'ye'chang 愁人知夜长
'chou'ri'san'shan'yi 畴日三山意
'chou'rong'ding'wu'li 愁容定无力
'chou'rong'jing'du'zhi 愁容镜独知
'chou'rong'qi'jiu'en 愁容泣旧恩
'chou'ru'cen'ci'yan 愁入参差雁
'chou'ru'cui'mei'chang 愁入翠眉长
'chou'ru'hui'biao'luan'bai'xue 愁如回飙乱白雪
'chou'ru'xi'feng'nan'pu 愁入西凤南浦
'chou'ru'xi'feng'nan'pu 愁入西风南浦
'chou'sai'zi'quan'ce 抽思滋泉侧
'chou'sha'dang'zhou'ren 愁杀荡舟人
'chou'sha'fang'nian'you 愁杀芳年友
'chou'sha'jiang'lou'bing'shi'jun 愁杀江楼病使君
'chou'sha'kan'hua'ren 愁杀看花人
'chou'sha'li'jia'wei'da'ren 愁杀离家未达人
'chou'sha'long'tou'ren 愁杀陇头人
'chou'shang'yi'yi'bai 愁伤意已败
'chou'sha'wei'lang'yi'jiao'mian 愁杀韦郎一觉眠
'chou'shi'dang'qian'fang'ti'ru 抽矢当前放蹄入
'chou'shi'hou 愁时候
'chou'shi'kou'lun 抽矢扣轮
'chou'shi'yin'shui'you'qi'gong 愁时引睡有奇功
'chou'shui'fu'chou'feng 愁水复愁风
'chou'si'chang'wang'miao'nan'ping 愁思怅望渺难平
'chou'si'chu'men'ti 愁思出门啼
'chou'si'dang'gao'shei 愁思当告谁
'chou'si'kan'chun'bu'dang'chun 愁思看春不当春
'chou'si'liu'huang'ji 愁思流黄机
'chou'si'qi'ru'du'xu'jian 愁思起如独绪茧
'chou'si'xiao'xiang'pu 愁思潇湘浦
'chou'sui'ku'hai'shen 愁随苦海深
'chou'sui'you'zu 丑虽有足
'chou'sui'zhi'nv'gui 愁随织女归
'chou'sun'bao'guan'qiu 愁损抱官囚
'chou'sun'bei'ren 愁损北人
'chou'sun'ci'xiang'qu'guo'ren 愁损辞乡去国人
'chou'sun'cui'dai'shuang'e 愁损翠黛双蛾
'chou'sun'lu'luo'qun 愁损绿罗裙
'chou'suo'dai'mei'yan'yi'can 愁锁黛眉烟易惨
'chou'tan'ju'fan'xing 愁叹剧繁星
'chou'ti'jiu 愁殢酒
'chou'ting'lao'wei'chang 愁听络纬唱
'chou'ting'xing'xing'ti'zhang'yu 愁听猩猩啼瘴雨
'chou'wang'qing'tian'ji 愁望晴天际
'chou'wei'shi'yi'zu 臭味实一族
'chou'wei'xing 愁未醒
'chou'wei'yan'jiu 筹帷厌久
'chou'wei'yuan'yu'ju 臭味猿与狙
'chou'wei'zhong'zu'mi 臭味终祖祢
'chou'wen'ba'sou'wo'huang'cun 愁闻巴叟卧荒村
'chou'wen'sai'qu'chui'lu'guan 愁闻塞曲吹芦管
'chou'wen'zhong'zhen'jin 酬文重振金
'chou'wo'jin'gui'li 愁卧金闺里
'chou'wu'ji 愁无己
'chou'wu'ji 愁无际
'chou'wu'mei 愁无寐
'chou'wu'na 愁无那
'chou'wu'shu 愁无数
'chou'wu'xian 愁无限
'chou'xian'dui'bai'yun 抽弦对白云
'chou'xiang'feng'qian'wu'chu'shui 愁向风前无处说
'chou'xiang'gao'tang'wang 愁向高唐望
'chou'xiang'lu'zun'sheng 愁向绿樽生
'chou'xiang'peng'ying'gui'qu'lu 愁想蓬瀛归去路
'chou'xian'qu'zhen'jun'wei'he 抽弦去轸君谓何
'chou'xiao'ri'yue'wang'shen'shi 愁消日月忘身世
'chou'xi'bing'you'wu'xian'ren 畴昔并友吾先人
'chou'xi'chang'lun'li 畴昔尝论礼
'chou'xi'cheng'yu'lun 畴昔承馀论
'chou'xie'huan'shi'mao 愁卸欢时帽
'chou'xi'feng'yao'ri 畴昔逢尧日
'chou'xi'gui'zhang'you 畴昔珪璋友
'chou'xi'hao'yan'bing 畴昔好言兵
'chou'xi'jiang'ge'yao'ke'zui 畴昔将歌邀客醉
'chou'xi'jiao'peng'yi'shu'suo 畴昔交朋已疏索
'chou'xi'meng'deng'tian 畴昔梦登天
'chou'xi'mu'yun'yuan 畴昔慕云渊
'chou'xi'nai'fang'rui 畴昔乃芳蕤
'chou'xin'ban'yang'liu 愁心伴杨柳
'chou'xin'di'zhu'yan'hang'lai 愁心低逐雁行来
'chou'xin'feng'ci'jie 愁心逢此节
'chou'xin'he'yu'dao'zhao'yang 愁心和雨到昭阳
'chou'xi'ni'yuan'ye 畴昔疑缘业
'chou'xin'shi'zui'jian'ru'bing 愁心似醉兼如病
'chou'xin'sui'dou'bing 愁心随斗柄
'chou'xin'xiang'shi'long'zhong'niao 愁心想似笼中鸟
'chou'xin'yi'dong'luan'ru'si 愁心一动乱如丝
'chou'xin'zhuai'bu'kan 愁心转不堪
'chou'xi'tan'shi'chi 畴昔叹时迟
'chou'xi'tong'you'gu 畴昔同幽谷
'chou'xi'wang'men'xia 畴昔王门下
'chou'xi'xian'jun'wang 畴昔献君王
'chou'xi'xin'qi'ju'sang'yong 畴昔心期俱丧勇
'chou'xi'xin'qing'kai'mao'cong 畴昔心亲岂貌従
'chou'xi'yi'nian'cha 畴昔一念差
'chou'xi'yue'ru'zhou 畴昔月如昼
'chou'xu'an'ying'si 愁绪暗萦丝
'chou'xu'cu'mei'duan 愁绪促眉端
'chou'xue'ma'sai'bian 愁学马思边
'chou'xu'luan'chun'feng 愁绪乱春风
'chou'xu'man'huai'wu'shi'chu 愁绪满怀无释处
'chou'xu'shi'jiu'xiang'jin 愁须诗酒相禁
'chou'ya'kong'yun'yu'zhui 愁压空云欲坠
'chou'yan'jie'fu'lao 愁颜解符老
'chou'yan'qia'si'shao'can'zhu 愁颜恰似烧残烛
'chou'yan'ru'jing'lan 愁烟入井阑
'chou'yan'yu'cui'bin 愁颜与衰鬓
'chou'yi'jian'feng'kuai 愁一箭风快
'chou'yi'jue 愁亦绝
'chou'yi'lan 愁倚阑
'chou'yi'lan'gan 愁倚阑干
'chou'yi'lan'ling 愁倚阑令
'chou'yi'liang'san'song 愁倚两三松
'chou'yin'bing'zeng'jia 愁引病增加
'chou'yin'bo'mu'qi 愁因薄暮起
'chou'yin'bu'neng'fen'zao'bai 愁阴不能分皂白
'chou'yin'chang'bao'xi 愁吟长抱膝
'chou'yin'hu'da'you'han'jiang 愁吟互答有寒螀
'chou'yin'qian'ri'xue'pu'chuang 愁阴前日雪铺床
'chou'yin'qi'ye'lai 愁吟起夜来
'chou'yi'xiao 酬一笑
'chou'yuan'chuan'geng'fei 愁猿喘更飞
'chou'yuan'dun'la'jing 愁鸢蹲落景
'chou'yun'can'dan'wan'li'ning 愁云黪淡万里凝
'chou'yun'can'dan'wan'li'ning 愁云惨淡万里凝
